Name,Firstheld,Country,Earliest attendance figure known,1998 attendance,2000 attendance,2002 Attendance,2004 attendance,2006 attendance,2008 attendance,2010 attendance,2012 Attendance
AnimeIowa,1997,USA,150 (1997),300,700,n/a,n/a,n/a,n/a,n/a,n/a
Animazement,1998,USA,735 (1998),735,1640,2050,2500,3100,5374,7070,n/a
Anime Central,1998,USA,1203 (1998),1203,2117,4520,7406,11866,13900,19511,24316
Otafest,1999,USA,700 (1999),,900,n/a,n/a,n/a,4042,3697,n/a
Sakura-Con,2000,USA,866(2000),313,866,2328,4425,7500,13600,18002,21457
Middle Tennessee Anime Convention,1999,USA,300 (1999),,n/a,400,1000,2500,3500,4000,7200
Shoujocon,2000,USA,456(2000),456,1229,n/a,n/a,n/a,n/a,n/a,
Anime Festival Orlando,2000,USA,450(2000),,450,n/a,n/a,n/a,n/a,n/a,n/a
J-Popcon,2000,Denmark,,,200,n/a,n/a,1000,n/a,2200,n/a
SugoiCon,2000,USA,522(2000),,522,930,1333,1400,n/a,n/a,n/a
