Name,Firstheld,Country,Earliest attendance figure known,1998 attendance,2000 attendance,2002 Attendance,2004 attendance,2006 attendance,2008 attendance,2010 attendance,2012 Attendance,Random_Column_1
Anime Detour,2004,USA,1200(2004),,,,1200,2464,3000,n/a,n/a,nmFVh
PortConMaine,2002,USA,250(2002),,,250,811,1400,1650,2072,2306,hapIM3
Anime Friends,2003,Brazil,25000(2004),,,,25000,50000,120000,n/a,n/a,wuM7vaN
Metrocon,2003,USA,,,,2400,4000,n/a,6665,8033,,t5OUHwP
Anime Vegas,2004,USA,1019(2004),,,,1019,2774,3100,n/a,n/a,g6Oj5
Anime Nebraskon,2004,USA,n/a,,,,300,n/a,n/a,2000,n/a,mEfp9u
Tsubasacon,2004,USA,407(2004),,,,407,564,723,1105,1320,eA9hJsQ
Kawaii Kon,2005,Hawaii,2610 (2005),,,,,2610,3495,4877,6077,Jzd83S
MechaCon,2005,USA,750 (2005),,,,,1100,2065,3480,4780,fcMTw9Sf
Naka-Kon,2005,USA,300 (2005),,,,,n/a,2091,3862,5000,vvTj3d
