Name,Firstheld,Country,Earliest attendance figure known,1998 attendance,2000 attendance,2002 Attendance,2004 attendance,2006 attendance,2008 attendance,2010 attendance,2012 Attendance
RealmsCon,2005,USA,1148(2006),,,,,1148,1542,n/a,n/a
Sac-Anime,2005,USA,2000(2006),,,,,2000,n/a,n/a,5000
AniZona,2005,USA,850(2005),,,,,1200,n/a,n/a,n/a
Aurora-Con,2006,USA,623(2006),,,,,623,n/a,n/a,n/a
Youmacon,2005,USA,1078(2005),,,,,2125,4494,n/a,12156
Anime Punch,2005,USA,200(2005),,,,,977,1337,1206,n/a
Animefest.cz,2004,Czech Republic,250(2004),,,,250,450,1000,1300,n/a
Daigacon,2007,USA,257(2007),,,,,,n/a,n/a,n/a
Matsuricon,2006,USA,25(2006),,,,,25,684,1403,n/a
Shinboku-con,2007,USA,193(2007),,,,,,467,623,703
