No,Peak,Location,Elevation (m),Prominence (m),Col height (m),Col location,Parent,Irrelevant_1
12,Barre des Écrins,France,"4,102","2,045",2057,Col du Lautaret,Mont Blanc,AKkYj5G1
13,Säntis,Switzerland,"2,503","2,021",482,Heiligkreuz bei Mels,Finsteraarhorn1 / MB2,7fAC9I
14,Ortler,Italy,"3,905","1,953",1952,Fraele Pass in the Livigno Alps,Piz Bernina,ud8GjE
15,Monte Baldo/Cima Valdritta,Italy,"2,218","1,950",268,near San Giovanni Pass in Nago–Torbole,Ortler1 / MB2,yWK0iri
16,Gran Paradiso,Italy,"4,061","1,891",2170,near Little St Bernard Pass,Mont Blanc,d4HDUJG
17,Pizzo di Coca,Italy,"3,050","1,878",1172,Aprica,Ortler1 / MB2,BdRqH
18,Cima Dodici,Italy,"2,336","1,874",462,Pergine Valsugana,Marmolada1 / MB2,anxjlOEQ
19,Dents du Midi,Switzerland,"3,257","1,796",1461,Col des Montets,Mont Blanc,P1EbbBj
20,Chamechaude,France,"2,082","1,771",311,Chambéry,Mont Blanc,Cs4iob
21,Zugspitze,Germany/ Austria,"2,962","1,746",1216,near Fern Pass,Finsteraarhorn1 / MB2,aGJ3w4
22,Monte Antelao,Italy,"3,264","1,735",1529,Passo Cimabanche,Marmolada,N7kl6uS
