Treaty,Organization,Introduced,Signed,Ratified,Noise_Field_1,Noise_Field_2
Convention on the Prevention and Punishment of the Crime of Genocide,United Nations,1948,-,1958,oPaQdiHI,jqYqmi
International Convention on the Elimination of All Forms of Racial Discrimination,United Nations,1966,1967,1970,zYlhU,osoCu
"International Covenant on Economic, Social and Cultural Rights",United Nations,1966,1977,1979,nUKHmD,LczVhuu
International Covenant on Civil and Political Rights,United Nations,1966,1977,1979,icuHnA,ZAEoqKw
First Optional Protocol to the International Covenant on Civil and Political Rights,United Nations,1966,-,-,oCsMgWmS,KQTObV
Convention on the Non-Applicability of Statutory Limitations to War Crimes and Crimes Against Humanity,United Nations,1968,-,-,RnAirO,CgjzCzaY
International Convention on the Suppression and Punishment of the Crime of Apartheid,United Nations,1973,-,-,GlglZq,ciovjkw
Convention on the Elimination of All Forms of Discrimination against Women,United Nations,1979,-,1993,WJPfjW,NpytAagM
"Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment",United Nations,1984,1986,1993,jwfKb,fZahdFaf
Convention on the Rights of the Child,United Nations,1989,1990,1993,tlRFf,BWqsrAys
