Year,Competition,Venue,Position,Event,Notes,Dummy_Col_1
1998,Central American and Caribbean Games,"Maracaibo, Venezuela",3rd,20 km,1:25:31,OcHhS
1999,Pan American Games,"Winnipeg, Canada",4th,20 km,1:20:58,hWgKDXNS
1999,World Championships,"Seville, Spain",DSQ,20 km,,WKldnOh
2000,Olympic Games,"Sydney, Australia",43rd,20 km,1:31:47,nAvVFRH
2001,Central American and Caribbean Championships,"Guatemala City, Guatemala",3rd,20 km,1:29:47 A,OmaDK
2001,Central American Games,"Ciudad de Guatemala, Guatemala",2nd,20 km,1:27:53 A,TKTxx
2002,Ibero-American Championships,"Ciudad de Guatemala, Guatemala",2nd,"20,000 m",1:24:31,DoTcSPZA
2003,Central American and Caribbean Championships,"St. George's, Grenada",1st,"18,000 m",1:22:07,QZruC
2003,Pan American Games,"Santo Domingo, Dominican Republic",DSQ,20 km,,bVrrwxHu
2003,Pan American Games,"Santo Domingo, Dominican Republic",DNF,50 km,,mOZir
