City served / Location,ICAO,IATA,Airport name,Usage
Issoudun / Le Fay,LFEK,,Issoudun - Le Fay Airport,Public
Le Blanc,LFEL,,Le Blanc Airport,Public
37: Indre-et-Loire,,,,
Amboise / Dierre,LFEF,XAM,Amboise - Dierre Airport,Public
Tours / Le Louroux,LFJT,,Tours - Le Louroux Aerodrome,Restricted
Tours / Sorigny,LFEN,,Tours - Sorigny Airport,Public
Tours / Loire Valley,LFOT,TUF,Tours Val de Loire Airport (Tours Loire Valley Airport),Public
38: Isère,,,,
Grenoble / Le Versoud,LFLG,,Grenoble - Le Versoud Aerodrome,Public
Grenoble / Saint-Geoirs,LFLS,GNB,Grenoble-Isère Airport,Public
Alpe d'Huez,LFHU,AHZ,Alpe d'Huez Airport,
La Tour-du-Pin / Cessieu,LFKP,,La Tour-du-Pin - Cessieu Aerodrome,Restricted
Morestel,LFHI,,Morestel Aerodrome,Public
Saint-Jean-d'Avelanne,LFKH,,Saint-Jean-d'Avelanne Aerodrome,Restricted
Vienne / Reventin,LFHH,XVI,Vienne - Reventin Airport,Public
39: Jura,,,,
Arbois,LFGD,,Arbois Aerodrome,Restricted
Champagnole / Crotenay,LFGX,,Champagnole - Crotenay Aerodrome,Restricted
Dole / Tavaux,LFGJ,DLE,Dole - Jura Airport,Public
Lons-le-Saunier / Courlaoux,LFGL,XLL,Lons-le-Saunier - Courlaoux Airport,Public
Saint-Claude / Pratz,LFKZ,XTC,Saint-Claude - Pratz Aerodrome,Restricted
40: Landes,,,,
Aire-sur-l'Adour,LFDA,,Aire-sur-l'Adour Airport,Public
Biscarrosse / Parentis,LFBS,,Biscarrosse - Parentis Airport,Public
Dax / Seyresse,LFBY,XDA,Dax - Seyresse Airport,Public
Mimizan,LFCZ,,Mimizan Airport,Public
Mont-de-Marsan,LFBM,XMJ,Mont-de-Marsan Air Base (BA 118),Military
Rion-des-Landes,LFIL,,Rion-des-Landes Aerodrome,Public
41: Loir-et-Cher,,,,
Blois / Le Breuil,LFOQ,XBQ,Blois - Le Breuil Airport (UAF),Public
Lamotte-Beuvron,LFFM,,Lamotte-Beuvron Aerodrome,Restricted
Romorantin / Pruniers,LFYR,,Romorantin - Pruniers Airport (DA 273),Public/Mil.
42: Loire,,,,
Feurs / Chambéon,LFLZ,,Feurs - Chambéon Airport,Public
Roanne / Renaison,LFLO,RNE,Roanne - Renaison Airport (UAF),Public
Saint-Chamond / L'Horme,LFHG,,Saint-Chamond - L'Horme Airport,Public
Saint-Étienne / Bouthéon,LFMH,EBU,Saint-Étienne - Bouthéon Airport,Public
Saint-Galmier,LFKM,,Saint-Galmier Aerodrome,Restricted
43: Haute-Loire,,,,
Brioude / Beaumont,LFHR,,Brioude - Beaumont Airport,Public
Le Puy / Loudes,LFHP,LPY,Le Puy - Loudes Airport,Public
44: Loire-Atlantique,,,,
Ancenis,LFFI,,Ancenis Aerodrome (UAF),Public
La Baule-Escoublac,LFRE,LBY,La Baule - Pornichet - Le Pouliguen Airport (UAF),Public
Nantes / Bouguenais,LFRS,NTE,Nantes Atlantique Airport,Public
Saint-Nazaire / Montoir-de-Bretagne,LFRZ,SNR,Saint-Nazaire - Montoir Airport (UAF),Public
45: Loiret,,,,
Briare / Châtillon,LFEI,,Briare - Châtillon Airport,Public
Montargis / Vimory,LFEM,,Montargis - Vimory Airport (UAF),Public
Orléans / Bricy,LFOJ,ORE,Orléans - Bricy Air Base (BA 123),Military
Orléans / Saint-Denis-de-l'Hôtel,LFOZ,,Orléans - Saint-Denis-de-l'Hôtel Airport,Public
Pithiviers,LFFP,,Pithiviers Aerodrome,Restricted
46: Lot,,,,
Cahors / Lalbenque,LFCC,ZAO,Cahors - Lalbenque Airport,Public
Figeac / Livernon,LFCF,,Figeac - Livernon Airport,Public
47: Lot-et-Garonne,,,,
