City served / Location,ICAO,IATA,Airport name,Usage,Random_Column_1,Filler_2,Random_Column_3
Calvi / Sainte-Catherine,LFKC,CLY,Calvi - Sainte-Catherine Airport,Public,RTnl1,RNwvhQXZ,5Tg9duc
Corte,LFKT,,Corte Airport,Public,veC4E,aKQWF,eY0L5
Ghisonaccia / Alzitone,LFKG,,Ghisonaccia - Alzitone Aerodrome,Restricted,ITkFmUS,btxYz,U1bwYXg
21: Côte-d'Or,,,,,UAsj13,lmhfS,AX90s
Beaune / Challanges,LFGF,XBV,Beaune - Challanges Airport,Public,1sLMLws,umEGnFRf,7scPX
Châtillon-sur-Seine,LFQH,,Châtillon-sur-Seine Airport,Public,TviMP,UFjykuys,97QVD
Dijon / Darois,LFGI,,Dijon - Darois Airport,Public,EW9A5NKD,omoutw,OmiJpniX
Dijon / Longvic,LFSD,DIJ,Dijon - Bourgogne Airport (BA 102),Public/Mil.,jgMWguy,oRQuqMMF,IxJntv
Nuits-Saint-Georges,LFGZ,,Nuits-Saint-Georges Aerodrome,Restricted,Eksyu6g,zMYnPJf,ZMZ2D6hL
Pouilly / Maconge,LFEP,,Pouilly - Maconge Aerodrome,Restricted,86g4BJM,wXeXFna,DC9gpNS
Saulieu / Liernais,LFEW,,Saulieu - Liernais Airport,Public,jwCd9hF,MjqAOpOp,RvZsnL
Semur-en-Auxois,LFGQ,,Semur-en-Auxois Airport,Public,24wCKe,LjNtmb,MrYscH
Til-Châtel,LFET,,Til-Châtel Airport,Public,LoF9Q,vxSSez,xJ8A0VfU
22: Côtes-d'Armor,,,,,ywiYSyjS,obctjH,sOb1OV
Dinan / Trélivan,LFEB,,Dinan - Trélivan Airport,Public,a2bx7,AImlOv,rVeUIc
Lannion,LFRO,LAI,Lannion - Côte de Granit Airport (Lannion-Servel Airport),Public,TVybas75,xOWXQk,vxnvhZI
Saint-Brieuc / Armor,LFRT,SBK,Saint-Brieuc - Armor Airport,Public,Wt6LmDDK,dOFSGgyX,cbHSU8
23: Creuse,,,,,DS2r9j,BzKnqG,Oa63I
Guéret / Saint-Laurent,LFCE,XGT,Guéret - Saint-Laurent Airport,Public,Fx1tXjh,srweN,N2ESw8V
Montluçon / Guéret,LFBK,MCU,Montluçon - Guéret Airport,Public,4Rxhcj,EjSiiid,90jcUwid
24: Dordogne,,,,,6WyFP,XnHow,zOwPals
Belvès / Saint-Pardoux,LFIB,,Belvès - Saint-Pardoux Aerodrome,Restricted,0bA6XnN7,MtbdvPC,YqxEOU8
Bergerac / Roumanière,LFBE,EGC,Bergerac Dordogne Périgord Airport,Public,4Dodn7X,eQHxzo,JOpT3Ve
Périgueux / Bassillac,LFBX,PGX,Périgueux - Bassillac Airport,Public,6t0bR1d,lgyjm,FefCNpy
Ribérac / Saint-Aulaye,LFIK,,Ribérac - Saint-Aulaye Aerodrome,Restricted,9ZbgFBn,plrHpxSi,Ij7koF
Sainte Foy-la-Grande,LFDF,,Sainte-Foy-la-Grande Airport,Public,A1yc8fu,IGWlEzOy,NlZrQcZ
Sarlat / Domme,LFDS,XSL,Sarlat - Domme Airport,Public,J3eNf,NYDAv,ff59fRg
25: Doubs,,,,,0c3gfN,MPOoM,jAvZcxu
Besançon / La Vèze,LFQM,QBQ,Besançon - La Vèze Aerodrome,Public,ZfyJWq,paKVkS,WXBPq
Besançon / Thise,LFSA,,Besançon - Thise Airport,Public,mjToWVGN,qIhcOoa,zuKq1na
Montbéliard / Courcelles,LFSM,XMF,Montbéliard - Courcelles Aerodrome,Public,DrCDIVUh,UcJsmDlE,5i35z
Pontarlier,LFSP,,Pontarlier Airport,Public,84xiAc,LXLqrG,MrxfuN
Valdahon,LFXH,,Valdahon Air Base,Military,8vtYL,jugSMAoj,TPCk63
26: Drôme,,,,,tptEC,tWEZae,K0xHTxQM
Aubenasson,LFJF,,Aubenasson Aerodrome,Restricted,eW8Xt2b9,KfDnixPf,ZzG3HQaa
La Motte Chalancon,LFJE,,La Motte-Chalancon Aerodrome,Restricted,SVwtj,CMBmdwVX,51v29d
Montélimar / Ancône,LFLQ,XMK,Montélimar - Ancône Airport,Public,Yq4v1i,UVjpGVG,vqPhaYKh
Pierrelatte,LFHD,,Pierrelate Airport,Public,gywxci,GiNrlwzh,gryjFA5c
Romans / Saint-Paul,LFHE,,Romans - Saint-Paul Airport,Public,HOHtjGHE,BzGMpm,jCXFq0n
Saint-Jean-en-Royans,LFKE,,Saint-Jean-en-Royans Aerodrome,Restricted,P79kS,AwlSBvW,X59m0
Saint-Rambert-d'Albon,LFLR,,Saint-Rambert-d'Albon Airport,Public,UWtLGY,jYChu,gY05Du
Valence / Chabeuil,LFLU,VAF,Valence - Chabeuil Airport,Public,LTsSIP5M,iwvXdY,5CkU2
27: Eure,,,,,L38toW,edIhr,BqTE5
Bernay / Saint-Martin,LFPD,XBX,Bernay - Saint-Martin Airport,Public,ltSVnz,DnUmd,iAa96
Étrépagny,LFFY,,Étrépagny Aerodrome,Restricted,57pKpU1,ggZyPZo,pnysFw
Évreux / Fauville,LFOE,EVX,Évreux-Fauville Air Base (BA 105),Military,zczHS8q,vUXcFlQT,SLuPz
Saint-André-de-l'Eure,LFFD,,Saint-André-de-l'Eure Airport,Restricted,S5WZjhiK,DLZIL,bQWRaO
28: Eure-et-Loir,,,,,U7xmbNw,XCYjzMnC,qOMfn99S
Bailleau-Armenonville,LFFL,,Bailleau-Armenonville Aerodrome,Restricted,n20UeM7P,UaXKgZnP,Z7PHJUOr
Chartres / Champhol,LFOR,QTJ,Chartres - Champhol Aerodrome,Public,mKlTCQG,BlCcNSqV,67KjV1Wg
Châteaudun,LFOC,,Châteaudun Airport (BA 279),Public/Mil.,AG6axm,IAGdOPUX,vyXqHwVX
Dreux / Vernouillet,LFON,,Dreux - Vernouillet Airport,Public,z5NW9SI3,MZCyTdss,BtY4poU
29: Finistère,,,,,EaLywZTj,vyoVkKA,EhZXWk
Brest / Guipavas,LFRB,BES,Brest Bretagne Airport,Public,cbBrb0Ra,BwebN,0PCoM
Landivisiau,LFRJ,LDV,Landivisiau Air Base,Military,H202UTV,VdaDOh,L3rbPEl
Lanvéoc / Poulmic,LFRL,,Lanvéoc - Poulmic Air Base,Military,mjsKZ,kkVzsz,gwy5Jx7G
