City served / Location,ICAO,IATA,Airport name,Usage,Unused_1,Filler_2,Dummy_Col_3
Morlaix / Ploujean,LFRU,MXN,Morlaix - Ploujean Airport,Public,,cpRJp,fxhpQjl
Ushant,LFEC,,Ouessant Airport,Public,,MGsYpSTZ,kjcwTG
Quimper / Pluguffan,LFRQ,UIP,Quimper - Cornouaille Airport,Public,,jMJpsX,rKZbhVd
30: Gard,,,,,,JPoUSia,Tljbp
Alès / Deaux,LFMS,,Alès - Deaux Airport,Public,,hYALXSN,clNerFfG
Avignon / Pujaut,LFNT,,Avignon - Pujaut Aerodrome (UAF),Restricted,,hHEQNY,LvFRi
La Grand-Combe,LFTN,,La Grand-Combe Aerodrome,Restricted,,wTJdkf,WVdzdi
Nîmes / Courbessac,LFME,,Nîmes - Courbessac Airport,Public,,JfMZx,fXTTFw
Nîmes / Garons,LFTW,FNI,Nîmes-Alès-Camargue-Cévennes Airport (Garons Airport),Public,,ykQMm,IoDyCJt
Uzès,LFNU,,Uzès Aerodrome,Restricted,,tgRlFXl,XsFLT
31: Haute-Garonne,,,,,,DnYhkX,LBDxqKoA
Bagnères-de-Luchon,LFCB,,Bagnères-de-Luchon Airport,Public,,LLBgQP,VKaAY
Cazères / Palaminy,LFJH,,Cazères - Palaminy Aerodrome,Restricted,,aSwRO,zKaIeRi
Toulouse / Bourg-Saint-Bernard,LFIT,,Toulouse - Bourg-Saint-Bernard Aerodrome,Restricted,,lbzXJB,NVJYU
Toulouse / Montaudran,LFIO,XYT,Toulouse - Montaudran Airport,,,ijKUwyss,YMjYGS
Muret / Lherm,LFBR,,Muret - Lherm Aerodrome,Public,,uBZqWx,uUSSSAg
Montagne Noire (Revel),LFMG,,Montagne Noire Aerodrome,Restricted,,CVHqCql,OmIFk
Revel / Montgey,LFIR,,Revel - Montgey Aerodrome,Restricted,,wpoia,UCPFTrE
Saint-Gaudens / Montréjeau,LFIM,,Saint-Gaudens - Montréjeau Airport,Public,,uWrfB,RjCHa
Toulouse / Blagnac,LFBO,TLS,Toulouse - Blagnac Airport,Public,,BvvtGw,PWggLEnQ
Toulouse / Francazal,LFBF,,Toulouse - Francazal Air Base (BA 101),Military,,vAkvE,TIcRt
Toulouse / Lasbordes,LFCL,,Toulouse - Lasbordes Airport,Public,,NUnfKq,NVTKtui
32: Gers,,,,,,LEvdMr,uiGTz
Auch / Lamothe,LFDH,,Auch - Lamothe Airport (UAF),Public,,DggdKEKv,tedvtlV
Condom / Valence-sur-Baïse,LFID,,Condom - Valence-sur-Baïse Airport,Public,,WFikLYjI,MgysiEI
Nogaro,LFCN,,Nogaro Airport,Public,,Priit,rhGJJBM
33: Gironde,,,,,,KlQQUZak,GHRSkY
Andernos-les-Bains,LFCD,,Andernos-les-Bains Airport,Public,,QZwvJ,WXYqB
Arcachon / La Teste-de-Buch,LFCH,XAC,Arcachon - La Teste-de-Buch Airport,Public,,XpNPIszR,PLJOM
Bordeaux / Léognan / Saucats,LFCS,,Bordeaux - Leognan - Saucats Airport,Public,,ADoFWXS,FREXLa
Bordeaux / Mérignac,LFBD,BOD,Bordeaux - Mérignac Airport (BA 106),Public/Mil.,,oBzTPYr,MgwLIlH
Bordeaux / Souge,LFDO,,Bordeaux - Souge Aerodrome,,,MtSOTBRv,WcAfPS
