City served / Location,ICAO,IATA,Airport name,Usage
Guiscriff,LFES,,Guiscriff Scaer Airport,
Lorient / Lann / Bihoué,LFRH,LRT,Lorient South Brittany Airport (Bretagne Sud),Government
Ploërmel / Loyat,LFRP,,Ploërmel - Loyat Airport,Public
Pontivy,LFED,,Pontivy Airport,Public
Quiberon,LFEQ,,Quiberon Aerodrome (UAF),Public
Vannes / Meucon,LFRV,VNE,Vannes - Meucon Airport,Public
57: Moselle,,,,
Dieuze / Guéblange,LFQZ,,Dieuze - Gueblange Aerodrome,Restricted
Metz / Frescaty,LFSF,MZM,Metz - Frescaty Air Base (BA 128),Military
Metz / Nancy / Lorraine,LFJL,ETZ,Metz-Nancy-Lorraine Airport,Public
Phalsbourg / Bourscheid,LFQP,,Phalsbourg-Bourscheid Air Base,
Sarrebourg / Buhl,LFGT,,Sarrebourg - Buhl Airport,Public
Sarreguemines / Neunkirch,LFGU,,Sarreguemines - Neunkirch Airport,Public
Thionville / Yutz,LFGV,XTH,Thionville - Yutz Airport,Public
58: Nièvre,,,,
Clamecy,LFJC,,Clamecy Airport,Public
Cosne-sur-Loire,LFGH,,Cosne-sur-Loire Airport,Public
Nevers / Fourchambault,LFQG,NVS,Nevers - Fourchambault Airport (WEB UAF),Public
59: Nord,,,,
Cambrai / Épinoy,LFQI,XCB,Cambrai - Épinoy Air Base (BA 103),Military
Cambrai / Niergnies,LFYG,,Cambrai - Niergnies Airport,Public
Dunkirk / Les Moëres,LFAK,XDK,Dunkerque - Les Moëres Airport,Restricted
Lille / Lesquin,LFQQ,LIL,Lille Airport (Lille-Lesquin Airport),Public
Lille / Marcq-en-Baoeul,LFQO,,Lille - Marcq-en-Baroeul Airport,Public
Maubeuge / Élesmes,LFQJ,XME,Maubeuge Aerodrome (UAF),Public
Merville / Calonne,LFQT,HZB,Merville - Calonne Airport,Public
Valenciennes / Denain,LFAV,XVS,Valenciennes - Denain Airport,Public
60: Oise,,,,
Beauvais / Tillé,LFOB,BVA,Beauvais - Tillé Airport,Public
Compiègne / Margny,LFAD,XCP,Compiègne - Margny Airport,Public
Creil,LFPC,CSF,Creil Air Base (BA 110),Military
Le Plessis-Belleville,LFPP,,Plessis-Belleville Airport,Public
61: Orne,,,,
Alençon / Valframbert,LFOF,XAN,Alençon - Valframbert Aerodrome (WEB UAF),Public
Argentan,LFAJ,,Argentan Aerodrome (UAF),Public
Bagnoles-de-l'Orne / Couterne,LFAO,,Bagnoles-de-l'Orne - Couterne Airport,Public
Flers / Saint-Paul,LFOG,,Flers - Saint-Paul Aerodrome (UAF),Public
L'Aigle / Saint-Michel,LFOL,,L'Aigle - Saint-Michel Airport,Public
Mortagne-au-Perche,LFAX,,Mortagne Aerodrome (UAF),Public
62: Pas-de-Calais,,,,
Arras / Roclincourt,LFQD,QRV,Arras - Roclincourt Airport,Public
Berck-sur-Mer,LFAM,,Berck-sur-Mer Airport,Public
Calais / Dunkerque,LFAC,CQF,Calais - Dunkerque Airport,Public
Le Touquet-Paris-Plage,LFAT,LTQ,Le Touquet - Côte d'Opale Airport,Public
Lens / Bénifontaine,LFQL,XLE,Lens - Bénifontaine Airport,Public
Saint-Omer / Wizernes,LFQN,XSG,Saint-Omer - Wizernes Airport,Public
Vitry-en-Artois,LFQS,,Vitry-En-Artois Airport,Public
63: Puy-de-Dôme,,,,
Ambert / Le Poyet,LFHT,,Ambert - Le Poyet Airport,Public
Clermont-Ferrand / Auvergne,LFLC,CFE,Clermont-Ferrand Auvergne Airport,Public
Issoire / Le Broc,LFHA,,Issoire - Le Broc Airport,Public
64: Pyrénées-Atlantiques,,,,
Biarritz / Anglet / Bayonne,LFBZ,BIQ,Biarritz - Anglet - Bayonne Airport,Public
Itxassou,LFIX,,Itxassou Aerodrome,Restricted
Oloron / Herrère,LFCO,,Oloron - Herrère Airport,Public
Pau / Pyrenees (Uzein),LFBP,PUF,Pau Pyrénées Airport,Public
