City served / Location,ICAO,IATA,Airport name,Usage,Irrelevant_1,Dummy_Col_2,Unused_3
Carpentras,LFNH,,Carpentras Airport,Public,J8APUy,UPlAx,
Orange / Caritat,LFMO,XOG,Orange-Caritat Air Base (BA 115),Military,rcwj9Pxn,QNdIbJxQ,
Pont-Saint-Esprit,LFND,,Pont-Saint-Esprit Airport,Public,gzTofMdc,YzotSC,
Saint-Christol,LFXI,,Saint-Christol Airport,,TH1fhL1g,cNJyZRmm,
Valréas / Visan,LFNV,,Valréas - Visan Airport,Public,rZ6tGn,oTWorn,
85: Vendée,,,,,g2vUvq,qAnjT,
Fontenay-le-Comte,LFFK,,Fontenay-le-Comte Airport,Public,FYLJe,cAyOI,
Île d'Yeu,LFEY,IDY,Île d'Yeu Aerodrome,Public,fvxDWD0,rVKMqeG,
La Roche-sur-Yon / Les Ajoncs,LFRI,EDM,La Roche-sur-Yon Aerodrome (UAF),Public,0nZdMHBK,MwYGwXJo,
Les Sables-d'Olonne / Talmont,LFOO,LSO,Les Sables-d'Olonne - Talmont Airport,Public,qbBksQ,bvsmU,
Montaigu / Saint-Georges,LFFW,,Montaigu - Saint-Georges Airport,Public,e9Z2Fj,KvvwEVHm,
86: Vienne,,,,,tIwBOj,INFVw,
Châtellerault / Targe,LFCA,XCX,Châtellerault - Targe Airport,Public,uPwjNw,nZHKnrC,
Chauvigny,LFDW,,Chauvigny Airport,Public,Xjgw3w8,RCJmKr,
Couhé / Vérac,LFDV,,Couhé - Vérac Airport,Public,UD2e0sC6,ozUDV,
Loudun,LFDL,,Loudun Airport,Public,SHyzOPcl,OWATkmg,
Poitiers / Biard,LFBI,PIS,Poitiers - Biard Airport,Public,rfJFvH,AbSQMzx,
87: Haute-Vienne,,,,,oxJ9M1,uAFNo,
Limoges / Bellegarde,LFBL,LIG,Limoges - Bellegarde Airport,Public,gTuWQ,LzuATRpS,
Saint-Junien,LFBJ,,Saint-Junien Maryse Bastié Airport,Public,RgiYPj,lgmet,
88: Vosges,,,,,ITKYICF,TCTQy,
Damblain,LFYD,,Damblain Airport,,mwo3A,hJVLlCby,
Épinal / Dogneville,LFSE,,Épinal - Dogneville Airport,Public,gHkr0A,aAGPY,
Épinal / Mirecourt,LFSG,EPL,Épinal - Mirecourt Airport,Public,7e2FXzpM,alISD,
Neufchâteau,LFFT,,Neufchâteau Airport,Public,klbIlzC,rNOXnu,
Saint-Dié / Remomeix,LFGY,XTD,Saint-Dié - Remomeix Airport,Public,FReOwiI,HvNmAJz,
Vittel / Champ de Course,LFSZ,VTL,Vittel - Champ-de-Courses Airport,,C6PQE5V0,wiZUbn,
Vittel / Auzainvilliers,LFXC,,Vittel - Auzainvilliers Airport (military),,gkS0gCui,TvWIWEUm,
89: Yonne,,,,,jFpQ6,dAwaHr,
Auxerre / Branches,LFLA,AUF,Auxerre - Branches Aerodrome,Public,W4I1Gz,IUnMVCGa,
Avallon,LFGE,,Avallon Airport,Public,7h6I1,jBpadeZ,
Joigny,LFGK,,Joigny Airport,Public,nqXe3wy,WgBXVEZS,
Pont-sur-Yonne,LFGO,,Pont-sur-Yonne Airport,Public,4Aoumx9h,BxbizVgL,
Saint-Florentin / Chéu,LFGP,,Saint-Florentin - Chéu Airport,Public,KvWk4ZTL,eoNYBDd,
90: Territoire de Belfort,,,,,YjsRD,yajJOH,
Belfort / Chaux,LFGG,,Belfort - Chaux Airport,Public,vP7YW,nGrteBID,
Belfort / Fontaine,LFSQ,BOR,Belfort - Fontaine Aerodrome,,4HKfrSo,CsXwWNL,
91: Essonne,,,,,SnEP6,pwPcm,
Brétigny-sur-Orge,LFPY,,Brétigny-sur-Orge Air Base (BA 217),Military,n4qJTGN,TdidhPy,
Buno-Bonnevaux,LFFB,,Buno-Bonnevaux Aerodrome,Restricted,hBAZFKd8,blkAr,
Étampes / Mondésir,LFOX,,Étampes - Mondésir Aerodrome (UAF),Public,ubRAlwa,GZpnx,
Évry,,JEV,Évry Heliport,,oOBVYZ,TTIyaF,
La Ferté-Alais,LFFQ,,La Ferté-Alais Aerodrome,Restricted,DtG8jQn,IltaKf,
92: Hauts-de-Seine,,,,,AaYXw,MvkHDs,
Issy-les-Moulineaux,LFPI,JDP,Paris - Issy-les-Moulineaux Heliport (UAF),,moWb7a,DoqXgKS,
La Défense,,JPU,Paris - La Défense Heliport,,VYXH3X,EkyZDwAM,
93: Seine-Saint-Denis,,,,,nOk2SE0Z,PnHkzhGf,
Paris / Le Bourget,LFPB,LBG,Paris - Le Bourget Airport,Public,6hrlKokx,TasoX,
94: Val-de-Marne,,,,,04Vro6p,vXLJfRn,
Paris / Orly,LFPO,ORY,Paris-Orly Airport,Public,S4kK7,tElXDvh,
95: Val-d'Oise,,,,,BJ4Uy,brYHU,
Enghien / Moisselles,LFFE,,Enghien - Moisselles Airport,Restricted,6IE8TQ,LgEuZ,
Mantes / Chérence,LFFC,,Mantes - Chérence Aerodrome,Restricted,U10P5,kIsEPkK,
Paris / Charles de Gaulle,LFPG,CDG,Paris-Charles de Gaulle Airport (Roissy Airport),Public,n2KrpGWz,mhvJoNOv,
Persan / Beaumont,LFPA,XYP,Persan - Beaumont Airport,Public,M8wJFcMb,jTXErnkD,
Pontoise / Cormeilles-en-Vexin,LFPT,POX,Pontoise - Cormeilles Aerodrome,Public,HPorG,PJPQctOo,
