Rnd.,Pick #,NFL team,Player,Pos.,College,Conf.,Notes
1,1,Oakland Raiders,JaMarcus Russell,QB,LSU,SEC,
1,2,Detroit Lions,Calvin Johnson†,WR,Georgia Tech,ACC,
1,3,Cleveland Browns,Joe Thomas†,OT,Wisconsin,Big Ten,
1,4,Tampa Bay Buccaneers,Gaines Adams,DE,Clemson,ACC,Deceased
1,5,Arizona Cardinals,Levi Brown,OT,Penn State,Big Ten,
1,6,Washington Redskins,LaRon Landry†,S,LSU,SEC,
1,7,Minnesota Vikings,Adrian Peterson†,RB,Oklahoma,Big 12,
1,8,Atlanta Falcons,Jamaal Anderson,DE,Arkansas,SEC,from Houston
1,9,Miami Dolphins,Ted Ginn Jr,WR,Ohio State,Big Ten,
1,10,Houston Texans,Amobi Okoye,DT,Louisville,Big East,from Atlanta
1,11,San Francisco 49ers,Patrick Willis†,LB,Ole Miss,SEC,
1,12,Buffalo Bills,Marshawn Lynch†,RB,California,Pac-10,
1,13,St. Louis Rams,Adam Carriker,DT,Nebraska,Big 12,
1,14,New York Jets,Darrelle Revis†,CB,Pittsburgh,Big East,from Carolina
1,15,Pittsburgh Steelers,Lawrence Timmons,LB,Florida State,ACC,
1,16,Green Bay Packers,Justin Harrell,DT,Tennessee,SEC,
1,17,Denver Broncos,Jarvis Moss,DE,Florida,SEC,from Jacksonville
1,18,Cincinnati Bengals,Leon Hall,CB,Michigan,Big Ten,
1,19,Tennessee Titans,Michael Griffin†,S,Texas,Big 12,
1,20,New York Giants,Aaron Ross,CB,Texas,Big 12,
1,21,Jacksonville Jaguars,Reggie Nelson,S,Florida,SEC,from Denver
1,22,Cleveland Browns,Brady Quinn,QB,Notre Dame,Ind.,from Dallas
1,23,Kansas City Chiefs,Dwayne Bowe†,WR,LSU,SEC,
1,24,New England Patriots,Brandon Meriweather†,S,Miami (FL),ACC,from Seattle
1,25,Carolina Panthers,Jon Beason†,LB,Miami (FL),ACC,from New York Jets
1,26,Dallas Cowboys,Anthony Spencer†,LB,Purdue,Big Ten,from Philadelphia
