Rnd.,Pick #,NFL team,Player,Pos.,College,Conf.,Notes
1,27,New Orleans Saints,Robert Meachem,WR,Tennessee,SEC,
1,28,San Francisco 49ers,Joe Staley†,OT,Central Michigan,MAC,from New England
1,29,Baltimore Ravens,Ben Grubbs†,G,Auburn,SEC,
1,30,San Diego Chargers,"Craig \Buster\"" Davis""",WR,LSU,SEC,
1,31,Chicago Bears,Greg Olsen,TE,Miami (FL),ACC,
1,32,Indianapolis Colts,Anthony Gonzalez,WR,Ohio State,Big Ten,
2,33,Arizona Cardinals,Alan Branch,DT,Michigan,Big Ten,from Oakland
2,34,Buffalo Bills,Paul Posluszny†,LB,Penn State,Big Ten,from Detroit
2,35,Tampa Bay Buccaneers,Arron Sears,G,Tennessee,SEC,
2,36,Philadelphia Eagles,Kevin Kolb,QB,Houston,C-USA,from Cleveland via Dallas
2,37,San Diego Chargers,Eric Weddle†,S,Utah,MWC,from Washington via Chicago and New York Jets
2,38,Oakland Raiders,Zach Miller†,TE,Arizona State,Pac-10,from Arizona
2,39,Atlanta Falcons,Justin Blalock,G,Texas,Big 12,from Houston
2,40,Miami Dolphins,John Beck,QB,BYU,MWC,
2,41,Atlanta Falcons,Chris Houston,CB,Arkansas,SEC,from Minnesota
2,42,Indianapolis Colts,Tony Ugoh,OT,Arkansas,SEC,from San Francisco
2,43,Detroit Lions,Drew Stanton,QB,Michigan State,Big Ten,from Buffalo
2,44,Minnesota Vikings,Sidney Rice†,WR,South Carolina,SEC,from Atlanta
2,45,Carolina Panthers,Dwayne Jarrett,WR,USC,Pac-10,
2,46,Pittsburgh Steelers,LaMarr Woodley†,DE,Michigan,Big Ten,
2,47,New York Jets,David Harris,LB,Michigan,Big Ten,from Green Bay
2,48,Jacksonville Jaguars,Justin Durant,LB,Hampton,MEAC,
2,49,Cincinnati Bengals,Kenny Irons,RB,Auburn,SEC,
2,50,Tennessee Titans,Chris Henry,RB,Arizona,Pac-10,
2,51,New York Giants,Steve Smith†,WR,USC,Pac-10,
2,52,St. Louis Rams,Brian Leonard,FB,Rutgers,Big East,
