Rnd.,Pick #,NFL team,Player,Pos.,College,Conf.,Notes
6,181,Miami Dolphins,Reagan Maui'a,FB,Hawaiʻi,WAC,
6,182,Tampa Bay Buccaneers,Adam Hayward,LB,Portland State,Big Sky,from Minnesota
6,183,Houston Texans,Kasey Studdard,G,Texas,Big 12,
6,184,Buffalo Bills,John Wendling,FS,Wyoming,MWC,
6,185,Atlanta Falcons,Trey Lewis,DT,Washburn,MIAA,
6,186,San Francisco 49ers,Thomas Clayton,RB,Kansas State,Big 12,
6,187,Cincinnati Bengals,Matt Toeaina,DT,Oregon,Pac-10,
6,188,Tennessee Titans,Joel Filani,WR,Texas Tech,Big 12,
6,189,New York Giants,Adam Koets,OT,Oregon State,Pac-10,
6,190,St. Louis Rams,Ken Shackleford,OT,Georgia,SEC,
6,191,Green Bay Packers,Korey Hall,LB,Boise State,WAC,from Carolina via New York Jets
6,192,Green Bay Packers,Desmond Bishop,LB,California,Pac-10,from Pittsburgh
6,193,Green Bay Packers,Mason Crosby,K,Colorado,Big 12,
6,194,Atlanta Falcons,David Irons,CB,Auburn,SEC,from Jacksonville
6,195,Dallas Cowboys,Deon Anderson,FB,Connecticut,Big East,from Dallas via Cleveland
6,196,Kansas City Chiefs,Herbert Taylor,OT,TCU,MWC,
6,197,Seattle Seahawks,Courtney Taylor,WR,Auburn,SEC,
6,198,Atlanta Falcons,Doug Datish,C,Ohio State,Big Ten,from Denver via Jacksonville
6,199,Miami Dolphins,Drew Mormino,C,Central Michigan,MAC,from New Orleans
6,200,Cleveland Browns,Melila Purcell,DE,Hawaiʻi,WAC,from New York Jets via Dallas
6,201,Philadelphia Eagles,Rashad Barksdale,CB,Albany,NEC,
6,202,New England Patriots,Matthew Finamore,G,Kent State,MAC,
6,203,Atlanta Falcons,Daren Stone,S,Maine,A-10,from Baltimore via Jacksonville
6,204,Tennessee Titans,Jacob Ford,DE,Central Arkansas,Ind.,from San Diego
6,205,Washington Redskins,Jordan Palmer,QB,UTEP,C-USA,from Chicago
