Rnd.,Pick #,NFL team,Player,Pos.,College,Conf.,Notes
3,79,Jacksonville Jaguars,Mike Sims-Walker,WR,Central Florida,C-USA,
3,80,Tennessee Titans,Paul Williams,WR,Fresno State,WAC,
3,–,Cincinnati Bengals,selection forfeited because of use of 3rd round selection in 2006 Supplemental Draft,selection forfeited because of use of 3rd round selection in 2006 Supplemental Draft,selection forfeited because of use of 3rd round selection in 2006 Supplemental Draft,selection forfeited because of use of 3rd round selection in 2006 Supplemental Draft,selection forfeited because of use of 3rd round selection in 2006 Supplemental Draft
3,81,New York Giants,Jay Alford,DT,Penn State,Big Ten,
3,82,Kansas City Chiefs,"DeMarcus \Tank\"" Tyler""",DT,NC State,ACC,from St. Louis
3,83,Carolina Panthers,Charles Johnson,DE,Georgia,SEC,
3,84,St. Louis Rams,Jonathan Wade,CB,Tennessee,SEC,from Kansas City
3,85,Seattle Seahawks,Brandon Mebane,DT,California,Pac-10,
3,86,Baltimore Ravens,Marshal Yanda†,OT,Iowa,Big Ten,from Denver via Jacksonville
3,87,Philadelphia Eagles,Stewart Bradley,LB,Nebraska,Big 12,from Dallas
3,88,New Orleans Saints,Andy Alleman,G,Akron,MAC,
3,89,Green Bay Packers,Aaron Rouse,S,Virginia Tech,ACC,from New York Jets
3,90,Philadelphia Eagles,Tony Hunt,RB,Penn State,Big Ten,
3,91,Oakland Raiders,Mario Henderson,OT,Florida State,ACC,from New England
3,92,Buffalo Bills,Trent Edwards,QB,Stanford,Pac-10,from Baltimore
3,93,Chicago Bears,Garrett Wolfe,RB,Northern Illinois,MAC,from San Diego
3,94,Chicago Bears,Michael Okwo,LB,Stanford,Pac-10,
3,95,Indianapolis Colts,Dante Hughes,CB,California,Pac-10,
3*,96,San Diego Chargers,Anthony Waters,LB,Clemson,ACC,
3*,97,San Francisco 49ers,Ray McDonald,DE,Florida,SEC,
3*,98,Indianapolis Colts,Quinn Pitcock,DT,Ohio State,Big Ten,
3*,99,Oakland Raiders,Johnnie Lee Higgins,WR,UTEP,C-USA,
4,100,Oakland Raiders,Michael Bush,RB,Louisville,Big East,
4,101,Jacksonville Jaguars,Adam Podlesh,P,Maryland,ACC,from Detroit via Baltimore
4,102,Minnesota Vikings,Brian Robison,DE,Texas,Big 12,from Tampa Bay
4,103,Dallas Cowboys,Isaiah Stanback,QB,Washington,Pac-10,from Cleveland
