Rnd.,Pick #,NFL team,Player,Pos.,College,Conf.,Notes
4,130,Chicago Bears,Josh Beekman,G,Boston College,ACC,
4,131,Indianapolis Colts,Brannon Condren,S,Troy,Sun Belt,
4*,132,Pittsburgh Steelers,Ryan McBean,DT,Oklahoma State,Big 12,
4*,133,Atlanta Falcons,Martrez Milner,TE,Georgia,SEC,
4*,134,Baltimore Ravens,Antwan Barnes,LB,Florida International,Sun Belt,
4*,135,San Francisco 49ers,Joe Cohen,DE,Florida,SEC,
4*,136,Indianapolis Colts,Clint Session,LB,Pittsburgh,Big East,
4*,137,Baltimore Ravens,Le'Ron McClain†,FB,Alabama,SEC,
5,138,Oakland Raiders,Jay Richardson,DE,Ohio State,Big Ten,
5,139,St. Louis Rams,Dustin Fry,C,Clemson,ACC,from Detroit
5,140,Cleveland Browns,Brandon McDonald,CB,Memphis,C-USA,
5,141,Tampa Bay Buccaneers,Greg Peterson,DE,North Carolina Central,CIAA,
5,142,Arizona Cardinals,Steve Breaston,WR,Michigan,Big Ten,
5,143,Washington Redskins,Dallas Sartz,LB,USC,Pac-10,
5,144,Houston Texans,Brandon Harrison,S,Stanford,Pac-10,
5,145,New Orleans Saints,David Jones,CB,Wingate,SAC,from Miami via Detroit
5,146,Minnesota Vikings,Aundrae Allison,WR,East Carolina,C-USA,
5,147,San Francisco 49ers,Tarell Brown,CB,Texas,Big 12,
5,148,Kansas City Chiefs,Kolby Smith,RB,Louisville,Big East,from Buffalo via St. Louis
5,149,Jacksonville Jaguars,Uche Nwaneri,G,Purdue,Big Ten,from Atlanta
5,150,Jacksonville Jaguars,Josh Gattis,S,Wake Forest,ACC,
5,151,Cincinnati Bengals,Jeff Rowe,QB,Nevada,WAC,
5,152,Tennessee Titans,Antonio Johnson,DT,Mississippi State,SEC,
5,153,New York Giants,Kevin Boss,TE,Western Oregon,Ind.,
5,154,St. Louis Rams,Clifton Ryan,DT,Michigan State,Big Ten,from St. Louis via Detroit
5,155,Carolina Panthers,Dante Rosario,TE,Oregon,Pac-10,
