Rnd.,Pick #,NFL team,Player,Pos.,College,Conf.,Notes
6,206,Tennessee Titans,Ryan Smith,CB,Florida,SEC,from Indianapolis
6*,207,Baltimore Ravens,Prescott Burgess,LB,Michigan,Big Ten,
6*,208,New England Patriots,Justise Hairston,RB,Central Connecticut,NEC,
6*,209,New England Patriots,Corey Hilliard,OT,Oklahoma State,Big 12,
6*,210,Seattle Seahawks,Jordan Kent,WR,Oregon,Pac-10,
7,211,New England Patriots,Oscar Lua,LB,USC,Pac-10,from Oakland
7,212,Dallas Cowboys,Courtney Brown,CB,Cal Poly,Great West,from Detroit via New York Jets
7,213,Cleveland Browns,Chase Pittman,DE,LSU,SEC,
7,214,Tampa Bay Buccaneers,Chris Denman,OT,Fresno State,WAC,
7,215,Arizona Cardinals,Ben Patrick,TE,Delaware,A-10,
7,216,Washington Redskins,Tyler Ecker,TE,Michigan,Big Ten,
7,217,Minnesota Vikings,Tyler Thigpen,QB,Coastal Carolina,Big South,
7,218,Houston Texans,Zac Diles,LB,Kansas State,Big 12,
7,219,Miami Dolphins,Kelvin Smith,LB,Syracuse,Big East,
7,220,New Orleans Saints,Marvin Mitchell,LB,Tennessee,SEC,from Atlanta
7,221,Chicago Bears,Trumaine McBride,CB,Ole Miss,SEC,from San Francisco via Cleveland
7,222,Buffalo Bills,Derek Schouman,TE,Boise State,WAC,
7,223,Tennessee Titans,Mike Otto,OT,Purdue,Big Ten,
7,224,New York Giants,Michael Johnson,S,Arizona,Pac-10,
7,225,Miami Dolphins,Brandon Fields†,P,Michigan State,Big Ten,from St. Louis
7,226,Carolina Panthers,C.J. Wilson,CB,Baylor,Big 12,
7,227,Pittsburgh Steelers,Dallas Baker,WR,Florida,SEC,
7,228,Green Bay Packers,DeShawn Wynn,RB,Florida,SEC,
7,229,Jacksonville Jaguars,John Broussard,WR,San Jose State,WAC,
7,230,Cincinnati Bengals,Dan Santucci,G,Notre Dame,Ind.,
