Rnd.,Pick #,NFL team,Player,Pos.,College,Conf.,Notes,Random_Column_1,Unused_2,Extra_Data_3
7,231,Kansas City Chiefs,Michael Allan,TE,Whitworth,NWC,,DArmp1eI,,640
7,232,Seattle Seahawks,Steve Vallos,G,Wake Forest,ACC,,wt1QqE92,,847
7,233,Minnesota Vikings,Chandler Williams,WR,Florida International,Sun Belt,from Deceased Denver,jAhBMFQX,,760
7,234,Cleveland Browns,Syndric Steptoe,KR/WR,Arizona,Pac-10,from Dallas,WSHsJ,,216
7,235,New York Jets,Chansi Stuckey,WR,Clemson,ACC,from New York Jets via Green Bay,E5gncFCx,,721
7,236,Philadelphia Eagles,Nate Ilaoa,RB,Hawaiʻi,WAC,,ftASoKcr,,849
7,237,Dallas Cowboys,Alan Ball,CB,Illinois,Big Ten,from New Orleans,9IacYfa,,979
7,238,Miami Dolphins,Abraham Wright,DE,Colorado,Big 12,from New England,qP2Aq,,702
7,239,Buffalo Bills,C. J. Ah You,DE,Oklahoma,Big 12,from Baltimore,Owy5iPO,,102
7,240,San Diego Chargers,Brandon Siler,LB,Florida,SEC,,eymUrO,,1
7,241,Chicago Bears,Aaron Brant,OT,Iowa State,Big 12,,6u3rw5,,390
7,242,Indianapolis Colts,Keyunta Dawson,LB,Texas Tech,Big 12,,8vv6Z,,947
7*,243,Green Bay Packers,Clark Harris,TE,Rutgers,Big East,,t2f1fC,,400
7*,244,Atlanta Falcons,Jason Snelling,FB,Virginia,ACC,,wYf6vf,,534
7*,245,Tampa Bay Buccaneers,Marcus Hamilton,CB,Virginia,ACC,,sDSiYWN,,842
7*,246,Tampa Bay Buccaneers,Kenneth Darby,RB,Alabama,SEC,,2nGR3RHT,,659
7*,247,New England Patriots,Mike Elgin,C,Iowa,Big Ten,,mvoVhh,,155
7*,248,St. Louis Rams,"Keith Jackson, Jr.",DT,Arkansas,SEC,,aFLsR1m,,64
7*,249,St. Louis Rams,Derek Stanley,WR,Wisconsin–Whitewater,WIAC,,H0395,,930
7*,250,New York Giants,Ahmad Bradshaw,RB,Marshall,C-USA,,j4na4wD,,239
7*,251,Jacksonville Jaguars,Chad Nkang,LB,Elon,SoCon,,0veaDuoA,,46
7*,252,Jacksonville Jaguars,Andrew Carnahan,OT,Arizona State,Pac-10,,h38tr,,435
7*,253,Cincinnati Bengals,Chinedum Ndukwe,S,Notre Dame,Ind.,,SjTxG,,365
7^,254,Oakland Raiders,Jonathan Holland,WR,Louisiana Tech,WAC,,Zziwf,,368
7^,255,Detroit Lions,Ramzee Robinson,CB,Alabama,SEC,,yc8nRn1J,,393
