Rnd.,Pick #,NFL team,Player,Pos.,College,Conf.,Notes
5,156,Pittsburgh Steelers,Cameron Stephenson,G,Rutgers,Big East,
5,157,Green Bay Packers,David Clowney,WR,Virginia Tech,ACC,
5,158,Detroit Lions,Johnny Baldwin,LB,Alabama A&M,SWAC,from Denver
5,159,Philadelphia Eagles,C. J. Gaddis,CB,Clemson,ACC,from Dallas
5,160,Kansas City Chiefs,Justin Medlock,K,UCLA,Pac-10,
5,161,Seattle Seahawks,Will Herring,LB,Auburn,SEC,
5,162,Philadelphia Eagles,Brent Celek,TE,Cincinnati,Big East,
5,163,Houston Texans,Brandon Frye,OT,Virginia Tech,ACC,from New Orleans
5,164,Carolina Panthers,Tim Shaw,LB,Penn State,Big Ten,from New York Jets
5,165,Oakland Raiders,Eric Frampton,S,Washington State,Pac-10,from New England
5,166,Jacksonville Jaguars,Derek Landri,DT,Notre Dame,Ind.,from Baltimore
5,167,Chicago Bears,Kevin Payne,S,Louisiana-Monroe,Sun Belt,from San Diego
5,168,Chicago Bears,Corey Graham†,CB,New Hampshire,A-10,
5,169,Indianapolis Colts,Roy Hall,WR,Ohio State,Big Ten,
5*,170,Pittsburgh Steelers,William Gay,CB,Louisville,Big East,
5*,171,New England Patriots,Clint Oldenburg,OT,Colorado State,MWC,
5*,172,San Diego Chargers,Legedu Naanee,WR,Boise State,WAC,
5*,173,Indianapolis Colts,Michael Coe,CB,Alabama State,SWAC,
5*,174,Baltimore Ravens,Troy Smith,QB,Ohio State,Big Ten,
6,175,Oakland Raiders,Oren O'Neal,FB,Arkansas State,Sun Belt,
6,176,Minnesota Vikings,Rufus Alexander,LB,Oklahoma,Big 12,from Detroit via Denver
6,177,New York Jets,Jacob Bender,OT,Nicholls State,Southland,from Tampa Bay
6,178,Dallas Cowboys,Nick Folk†,K,Arizona,Pac-10,from Cleveland
6,179,Washington Redskins,H. B. Blades,LB,Pittsburgh,Big East,
6,180,New England Patriots,Justin Rogers,DE,SMU,C-USA,from Arizona
