Rnd.,Pick #,NFL team,Player,Pos.,College,Conf.,Notes
2,53,Cleveland Browns,Eric Wright,CB,UNLV,MWC,from Dallas
2,54,Kansas City Chiefs,Turk McBride,DE,Tennessee,SEC,
2,55,Seattle Seahawks,Josh Wilson,CB,Maryland,ACC,
2,56,Denver Broncos,Tim Crowder,DE,Texas,Big 12,
2,57,Philadelphia Eagles,Victor Abiamiri,DE,Notre Dame,Ind.,
2,58,Detroit Lions,Ikaika Alama-Francis,DE,Hawaiʻi,WAC,from New Orleans
2,59,Carolina Panthers,Ryan Kalil†,C,USC,Pac-10,from New York Jets
2,60,Miami Dolphins,Samson Satele,C,Hawaiʻi,WAC,from New England
2,61,Detroit Lions,Gerald Alexander,S,Boise State,WAC,from Baltimore
2,62,Chicago Bears,Dan Bazuin,DE,Central Michigan,MAC,from San Diego
2,63,Green Bay Packers,Brandon Jackson,RB,Nebraska,Big 12,from Chicago via New York Jets
2,64,Tampa Bay Buccaneers,Sabby Piscitelli,S,Oregon State,Pac-10,from Indianapolis
3,65,Oakland Raiders,Quentin Moses,DE,Georgia,SEC,
3,66,New Orleans Saints,Usama Young,CB,Kent State,MAC,from Detroit
3,67,Dallas Cowboys,James Marten,OT,Boston College,ACC,from Cleveland
3,68,Tampa Bay Buccaneers,Quincy Black,LB,New Mexico,MWC,
3,69,Arizona Cardinals,Buster Davis,LB,Florida State,ACC,
3,70,Denver Broncos,Ryan Harris,OT,Notre Dame,Ind.,from Washington
3,71,Miami Dolphins,Lorenzo Booker,RB,Florida State,ACC,
3,72,Minnesota Vikings,Marcus McCauley,CB,Fresno State,WAC,
3,73,Houston Texans,Jacoby Jones†,WR,Lane,SIAC,
3,74,Baltimore Ravens,Yamon Figurs,WR,Kansas State,Big 12,from Buffalo via Detroit
3,75,Atlanta Falcons,Laurent Robinson,WR,Illinois State,Gateway,
3,76,San Francisco 49ers,Jason Hill,WR,Washington State,Pac-10,
3,77,Pittsburgh Steelers,Matt Spaeth,TE,Minnesota,Big Ten,
3,78,Green Bay Packers,James Jones,WR,San Jose State,WAC,
