Rnd.,Pick #,NFL team,Player,Pos.,College,Conf.,Notes
4,104,San Francisco 49ers,Jay Moore,DE,Nebraska,Big 12,from Washington
4,105,Detroit Lions,A. J. Davis,CB,NC State,ACC,from Arizona via Oakland
4,106,Tampa Bay Buccaneers,Tanard Jackson,S,Syracuse,Big East,from Minnesota
4,107,New Orleans Saints,Antonio Pittman,RB,Ohio State,Big Ten,from Houston
4,108,Miami Dolphins,Paul Soliai†,DT,Utah,MWC,
4,109,Atlanta Falcons,Stephen Nicholas,LB,South Florida,Big East,
4,110,Oakland Raiders,John Bowie,CB,Cincinnati,Big East,from San Francisco via New England
4,111,Buffalo Bills,Dwayne Wright,RB,Fresno State,WAC,
4,112,Pittsburgh Steelers,Daniel Sepulveda,P,Baylor,Big 12,from Green Bay
4,113,Jacksonville Jaguars,Brian Smith,LB,Missouri,Big 12,
4,114,Cincinnati Bengals,Marvin White,S,TCU,MWC,
4,115,Tennessee Titans,Leroy Harris,C,NC State,ACC,
4,116,New York Giants,Zak DeOssie†,LB,Brown,Ivy,
4,117,Detroit Lions,Manuel Ramírez,G,Texas Tech,Big 12,from St. Louis
4,118,Carolina Panthers,Ryne Robinson,WR,Miami (OH),MAC,
4,119,Green Bay Packers,Allen Barbre,OT,Missouri Southern,MIAA,from Pittsburgh
4,120,Seattle Seahawks,Baraka Atkins,DE,Miami (FL),ACC,
4,121,Denver Broncos,Marcus Thomas,DT,Florida,SEC,from Denver via Minnesota and Atlanta
4,122,Dallas Cowboys,Doug Free,OT,Northern Illinois,MAC,
4,123,Houston Texans,Fred Bennett,CB,South Carolina,SEC,from Kansas City via New Orleans
4,124,Seattle Seahawks,Mansfield Wrotto,G,Georgia Tech,ACC,from New York Jets via San Francisco
4,125,New Orleans Saints,Jermon Bushrod†,OT,Towson,A-10,from Philadelphia
4,126,San Francisco 49ers,Dashon Goldson†,S,Washington,Pac-10,from New Orleans via Indianapolis
4,127,New England Patriots,Kareem Brown,DT,Miami (FL),ACC,
4,128,Tennessee Titans,Chris Davis,WR,Florida State,ACC,from Baltimore
4,129,San Diego Chargers,Scott Chandler,TE,Iowa,Big Ten,
