Region/Country,1882–1918,1919–1948,1948–1951,1952–1960,1961–1971,1972–1979,1980–1989,1990–2001,2002–2010,2011–2013,Total
Azerbaijan,,,0,0,0,"1,800","25,000","33,453","2,142",295,"62,691"
Burma,,,0,0,0,147,83,383,138,,784
China,,,"5,000",217,96,43,78,277,84,21,"5,320"
Cyprus,,,21,35,28,21,12,32,0,3,151
Georgia,,,0,0,0,"1,700","35,000","21,134","4,111",586,"61,531"
"India, Pakistan, Bangladesh, and Sri Lanka",,250,"2,176","5,380","13,110","3,497","1,539","2,055",961,68,"29,036"
Iran,"1,760","6,000","21,910","15,699","19,502","9,550","8,487","4,326","1,097",97,"88,428"
Iraq,,"8,000","123,371","2,989","3,509",939,111,"1,325",130,8,"140,374"
Israel,,,411,868,"1,021",507,288,"1,148","1,448",201,"5,892"
Japan,,,0,9,25,34,57,98,32,2,257
Jordan,,,6,9,23,6,9,15,0,0,68
