Region/Country,1882–1918,1919–1948,1948–1951,1952–1960,1961–1971,1972–1979,1980–1989,1990–2001,2002–2010,2011–2013,Total,Irrelevant_1
Germany,,"64,600","8,210","1,386","3,175","2,080","1,759","2,442",866,197,"84,727",ZdjOtEf
Greece,,"17,000","2,131",676,514,326,147,127,48,18,"20,985",F8ZzNAK5
Hungary,,"25,300","14,324","9,819","2,601","1,100","1,005","2,444",730,398,"57,721",1cG35Auu
Ireland,,,14,46,145,157,233,136,54,5,790,DP6EF
Italy,,"1,554","1,305",414,940,713,510,656,389,231,"6,712",OU4XLF
Luxembourg,,,30,15,15,7,12,0,4,2,85,06E5uK
Netherlands,,"1,208","1,077",646,"1,470","1,170","1,239",997,365,76,"8,248",a16fY
Nordic Countries,,,85,131,886,903,"1,178","1,145",297,126,"4,731",9gxGv57J
Thereof: Denmark,,,27,46,298,292,411,389,85,17,"1,565",W8BuB
Thereof: Finland,,,9,20,172,184,222,212,33,12,864,dRmnK00w
