Region/Country,1882–1918,1919–1948,1948–1951,1952–1960,1961–1971,1972–1979,1980–1989,1990–2001,2002–2010,2011–2013,Total,Random_Column_1,Unused_2
Uzbekistan,,,,,,"1,500","19,500","78,905","8,570",582,"109,057",JQHg4b,
Yemen,"5,000","18,000","48,315","1,170","1,066",51,17,683,103,69,"74,474",Kont2seL,
Other (Asia),,"13,135",947,0,60,21,45,205,30,55,"14,498",CKknU,
Europe,,"471,477","330,282","99,564","168,488","190,336","75,852","958,834","119,628","32,412","2,446,873",Jxm3EW,
Albania,,,0,5,8,0,0,376,0,0,389,WgDKhJR,
Austria,,"18,400","2,632",610,"1,021",595,356,368,150,37,"24,137",6sXfJH,
Belgium,,521,291,394,"1,112",847,788,"1,053",873,517,"6,396",xXb2Wb,
Bulgaria,,"10,000","37,260","1,680",794,118,180,"3,999",341,62,"54,434",BhAwXU,
Czechoslovakia,,"26,700","18,788",783,"2,754",888,462,527,217,33,"51,952",cx8bkc,
France,,"1,637","3,378","2,286","20,162","12,148","12,827","16,882","21,351","7,041","98,121",Y8E7Z32,
