Region/Country,1882–1918,1919–1948,1948–1951,1952–1960,1961–1971,1972–1979,1980–1989,1990–2001,2002–2010,2011–2013,Total
Africa,,"11,180","96,272","143,706","165,372","20,109","28,822","55,560","31,419","7,755","560,195"
Algeria,,357,"3,810","3,433","12,857","2,137","1,830","1,682","1,967",167,"27,035"
Egypt and Sudan,,"4,020","16,514","17,521","2,963",535,372,202,166,14,"42,307"
"Ethiopia, Eritrea and Abyssinia",,,10,59,98,306,"16,965","45,126","23,613","6,368","92,840"
Libya,,"1,300","30,972","2,079","2,466",219,67,94,36,5,"37,138"
Morocco,,"1,500","30,750","95,945","130,507","7,780","3,809","3,276","2,113",95,"275,261"
South Africa,,259,683,995,"4,270","6,443","3,739","3,229","1,546",531,"21,695"
Tunisia,,"1,200","13,293","23,569","11,566","2,148","1,942","1,607","1,871",250,"57,594"
Zimbabwe,,,37,22,145,393,82,26,22,3,722
Other (Africa),,"1,907",203,83,500,148,16,318,85,19,"2,702"
Americas and Oceania,,"9,872","4,735","8,584","53,492","53,706","43,650","44,302","48,660","10,445","277,446"
