Region/Country,1882–1918,1919–1948,1948–1951,1952–1960,1961–1971,1972–1979,1980–1989,1990–2001,2002–2010,2011–2013,Total
(2): Latvia,,,,,,,"16,000","12,661",N/A,124,"28,785"
Thereof: Ukraine,,,,,,,"47,700","299,821","26,677","4,099","378,297"
Thereof: Moldova,,,,,,,"24,200","48,261","2,555",426,"75,442"
Spain,,,80,169,406,327,321,269,178,151,"1,916"
Switzerland,,,131,253,886,634,706,981,585,130,"4,306"
United Kingdom,,"1,574","2,306","1,730","7,444","6,844","7,754","6,634","5,265","1,561","41,115"
Yugoslavia,,"1,944","7,661",320,322,126,140,"2,029",162,20,"12,724"
Other (Europe),,"2,329","1,281",3,173,32,0,198,93,60,"4,169"
Not known,,"52,982","20,014","3,307","2,265",392,469,422,0,0,"79,851"
Total,"72,260","572,556","674,089","288,973","443,560","283,607","239,757","1,242,941","222,552","52,883","4,020,918"
