Region/Country,1882–1918,1919–1948,1948–1951,1952–1960,1961–1971,1972–1979,1980–1989,1990–2001,2002–2010,2011–2013,Total
Kazakhstan,,,0,0,0,0,0,"17,764","2,498",298,"20,558"
Kyrgyzstan,,,0,0,0,0,0,"4,660",608,103,"5,366"
"Indonesia, Malaysia, and the Philippines",,,101,46,54,40,60,205,42,10,551
Lebanon,,,235,846,"2,208",564,179,96,34,5,"4,167"
"Mongolia, South Korea, and North Korea",,,0,0,4,5,10,100,36,,155
Saudi Arabia,,,177,0,4,0,5,0,0,0,186
Syria,,"10,292","2,678","1,870","2,138",842,995,"1,664",23,0,"20,502"
Tajikistan,,,,0,0,0,0,"10,427",141,19,"10,577"
Turkey,,"13,000","34,547","6,871","14,073","3,118","2,088","1,311",817,244,"75,346"
Turkmenistan,,,0,0,0,0,0,"2,268",708,48,"3,007"
