Region/Country,1882–1918,1919–1948,1948–1951,1952–1960,1961–1971,1972–1979,1980–1989,1990–2001,2002–2010,2011–2013,Total
Argentina,,238,"1,148","3,921","15,203","15,235","11,359","11,673","10,147",766,"69,690"
Australia,,,116,107,742,"1,146",835,977,365,188,"4,565"
Bolivia,,,0,0,199,94,80,53,84,11,521
Brazil,,,304,763,"2,601","1,763","1,763","2,356","2,037",480,"12,271"
Canada,,316,236,276,"2,169","2,178","1,867","1,963","1,700",638,"11,673"
Central America (other countries which are not specifically mentioned here),,,17,43,129,104,8,153,157,,611
Chile,,,48,401,"1,790","1,180","1,040",683,589,82,"5,813"
Colombia,,,0,0,415,552,475,657,965,206,"3,270"
Cuba,,,14,88,405,79,42,629,606,118,"1,981"
Ecuador,,,0,0,40,38,44,67,69,9,267
Mexico,,,48,168,736,861,993,"1,049",697,238,"4,790"
