Region/Country,1882–1918,1919–1948,1948–1951,1952–1960,1961–1971,1972–1979,1980–1989,1990–2001,2002–2010,2011–2013,Total
Thereof: Norway,,,17,14,46,55,126,120,19,5,402
Thereof: Sweden,,,32,51,378,372,419,424,160,37,"1,873"
Poland,"10,000","180,700","106,414","39,618","14,706","6,218","2,807","3,064",764,97,"363,441"
Portugal,,,16,22,66,56,55,47,28,11,301
Romania,"1,000","49,800","117,950","32,462","86,184","18,418","14,607","6,254",711,149,"327,835"
Soviet Union (Europe),"70,000","52,300","4,916","6,096","22,699","135,909","28,763","908,205","86,154","21,709","1,336,801"
Thereof: Russia,,,,,,,"22,600","291,231","41,599","7,223","362,653"
Thereof: Belarus,,,,,,,"4,500","70,409","4,305",611,"79,825"
Thereof: Baltic Countries,,,,,,,"37,300","21,174","1,018",,"59,492"
(1): Lithuania,,,,,,,"24,500","6,774",N/A,40,"31,314"
