Rank,Hospital,City,County,# Beds,Type of Hospital,Extra_Data_1,Unused_2,Noise_Field_3
22,Long Beach Memorial Medical Center,Long Beach,Los Angeles,568,General Acute Care,743,,ObBobZo
23,Harbor UCLA Medical Center,Torrance,Los Angeles,553,General Acute Care,96,,JFJyU
24,Mission Hospital Regional Medical Center,Mission Viejo,Orange,552,General Acute Care,994,,QhQNWmj
25,Alta Bates Summit Medical Center,Berkeley,Alameda,551,General Acute Care,293,,ERFOuHJj
26,San Francisco General Hospital,San Francisco,San Francisco,550,General Acute Care,920,,ZDpchW
27,UCSF Medical Center at Parnassus,San Francisco,San Francisco,536,General Acute Care,185,,YxEMeNyt
28,Alta Bates Summit Medical Center,Oakland,Alameda,534,General Acute Care,629,,RMINV
29,Santa Clara Valley Medical Center,San Jose,Santa Clara,524,General Acute Care,188,,lMvnAWRh
30,Scripps Mercy Hospital,San Diego,San Diego,523,General Acute Care,552,,cYGxl
31,Huntington Memorial Hospital,Pasadena,Los Angeles,522,General Acute Care,877,,jVbhqJ
