Rank,Hospital,City,County,# Beds,Type of Hospital
42,Agnews Developmental Center,San Jose,Santa Clara,450,Mental Health
43,Jewish Home,San Francisco,San Francisco,450,Nursing Homes
44,St. Joseph Hospital Orange,Orange,Orange,448,General Acute Care
45,Presbyterian Intercommunity,Whittier,Los Angeles,441,General Acute Care
46,Kaiser Permanente Medical Center,Fontana,San Bernardino,440,General Acute Care
47,Kaiser Permanente Medical Center,Los Angeles,Los Angeles,439,General Acute Care
48,Pomona Valley Hospital Medical Center,Pomona,Los Angeles,436,General Acute Care
49,Sutter General Medical Center,Sacramento,Sacramento,432,General Acute Care
50,St. Mary Medical Center,San Francisco,San Francisco,430,General Acute Care
50,Good Samaritan Hospital,San Jose,Santa Clara,429,General Acute Care
