Rank,Hospital,City,County,# Beds,Type of Hospital
1,Patton State Hospital,Patton,San Bernardino,1500,Mental Health
2,LA County & USC Medical Center,Los Angeles,Los Angeles,1395,General Acute Care
3,Napa State Hospital,Napa,Napa,1385,Mental Health
4,Sonoma Developmental Center,Eldridge,Sonoma,1300,Mental Health
5,Lanterman Developmental Center,Pomona,Los Angeles,1286,Rehabilitaion
6,Fairview Developmental Center,Costa Mesa,Orange,1218,Mental Health
7,Porterville Developmental Center,Porterville,Tulare,1210,Mental Health
8,Laguna Honda Hospital Rehabilitation Center,San Francisco,San Francisco,1200,Nursing Homes
9,Atascadero State Hospital,Atascadero,San Luis Obispo,1200,Mental Health
10,Veterans Home of California,Yountville,Napa,1100,Veteran Admin
11,Metropolitan State Hospital,Norwalk,Los Angeles,1096,Mental Health
