Region,Seed,Team,Coach,Finished,Final Opponent,Score
Midwest,,,,,,
Midwest,n/a,Houston,Guy Lewis,First round,Southwestern Louisiana,L 102-89
Midwest,n/a,Kansas State,Jack Hartman,Regional Runner-up,Memphis State,L 92-72
Midwest,n/a,Southwestern Louisiana (Vacated),Beryl Shipley,Regional Fourth Place,South Carolina,L 90-85
Midwest,n/a,Memphis State,Gene Bartow,Runner Up,UCLA,L 87-66
Midwest,n/a,South Carolina,Frank McGuire,Regional Third Place,Southwestern Louisiana,W 90-85
Midwest,n/a,Texas Tech,Gerald Myers,First round,South Carolina,L 78-70
West,,,,,,
West,n/a,Arizona State,Ned Wulk,Regional Fourth Place,Long Beach State,L 84-80
West,n/a,Long Beach State,Jerry Tarkanian,Regional Third Place,Arizona State,W 84-80
West,n/a,Oklahoma City,Abe Lemons,First round,Arizona State,L 103-78
West,n/a,San Francisco,Bob Gaillard,Regional Runner-up,UCLA,L 54-39
West,n/a,UCLA,John Wooden,Champion,Memphis State,W 87-66
West,n/a,Weber State,Gene Visscher,First round,Long Beach State,L 88-75
