Region,Seed,Team,Coach,Finished,Final Opponent,Score,Unused_1,Unused_2
East,,,,,,,,
East,n/a,Furman,Joe Williams,First round,Syracuse,L 83-82,,
East,n/a,Maryland,Lefty Driesell,Regional Runner-up,Providence,L 103-89,,
East,n/a,Penn,Chuck Daly,Regional Fourth Place,Syracuse,L 69-68,,
East,n/a,Providence,Dave Gavitt,Fourth Place,Indiana,L 97-79,,
East,n/a,St. John's,Frank Mulzoff,First round,Penn,L 62-61,,
East,n/a,Saint Joseph's,Jack McKinney,First round,Providence,L 89-76,,
East,n/a,Syracuse,Roy Danforth,Regional Third Place,Penn,W 69-68,,
Mideast,,,,,,,,
Mideast,n/a,Austin Peay,Lake Kelly,Regional Fourth Place,Marquette,L 88-73,,
Mideast,n/a,Indiana,Bob Knight,Third Place,Providence,W 97-79,,
Mideast,n/a,Jacksonville,Tom Wasdin,First round,Austin Peay,L 77-75,,
Mideast,n/a,Kentucky,Joe B. Hall,Regional Runner-up,Indiana,L 72-65,,
Mideast,n/a,Marquette,Al McGuire,Regional Third Place,Austin Peay,W 88-73,,
Mideast,n/a,"Miami, Ohio",Darrell Hedric,First round,Marquette,L 77-62,,
