Year,Laureate,Relation,Category,Rationale
1997,Stanley B. Prusiner,"A.B., 1964; M.D., 1968",Physiology or Medicine,"\for his discovery of Prions - a new biological principle of infection\"""""
1999,Ahmed Zewail,"Ph.D., 1974; Sc.D. 1997",Chemistry,"\for his studies of the transition states of chemical reactions using femtosecond spectroscopy\"""""
2000,Alan J. Heeger,"Laboratory for Research on the Structure of Matter, 1962–1982",Chemistry,"\for their discovery and development of conductive polymers\"""""
2000,Alan MacDiarmid,"Department of Chemistry, 1955– ; Blanchard Professor of Chemistry, 1988–",Chemistry,"\for their discovery and development of conductive polymers\"""""
2000,Hideki Shirakawa,"Department of Chemistry, Post-Doctoral Researcher, 1976",Chemistry,"\for their discovery and development of conductive polymers\"""""
2002,"Raymond Davis, Jr.","Professor, 1985–2006",Physics,\for pioneering contributions to astrophysics
2004,Irwin Rose,"Professor of Physical Biochemistry, 1971–",Chemistry,"\for the discovery of ubiquitin-mediated protein degradation\"""""
2004,Edward C. Prescott,"Assistant Professor, 1967–1971",Economics,"\for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles.\"""""
2006,Edmund Phelps,"Professor, 1966–1971",Economics,"\for his analysis of intertemporal tradeoffs in macroeconomic policy.\"""""
2008,Harald zur Hausen,"Assistant professor, 1968–1969",Physiology or Medicine,"\for his discovery of human papilloma viruses causing cervical cancer\"""""
2009,George E. Smith,"B.S., 1955",Physics,"\for the invention of an imaging semiconductor circuit – the CCD sensor\"""""
2009,Oliver E. Williamson,"Professor, 1965–1983",Economics,\for his analysis of economic governance
2010,Ei'ichi Negishi,"Ph.D., 1963",Chemistry,"\for palladium-catalyzed cross couplings in organic synthesis\"""""
2011,Thomas J. Sargent,"Professor, 1970–1971",Economics,"\for their empirical research on cause and effect in the macroeconomy\"""""
