Year,Laureate,Relation,Category,Rationale,Random_Column_1
1922,Otto Fritz Meyerhof,"Research Professor in Physiological Chemistry, 1940–1951",Physiology or Medicine,"\for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle\""""",lnpHw
1938,Richard Kuhn,Visiting Research Professor for Physiological chemistry,Physiology or Medicine,"\for his work on carotenoids and vitamins\""""",C60nkOrI
1955,Vincent du Vigneaud,"Assistant in Biochemistry, Graduate School of Medicine, 1924–1925",Chemistry,\for his work on sulphur compounds,k4kcb
1961,Robert Hofstadter,"Research Fellow, 1939–1940; Physics Instructor, 1940–1941",Physics,"\for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons\""""",Lp8Mu
1964,"Martin Luther King, Jr.","Graduate Student, 1950–51",Nobel Peace Prize,"for being \the first person in the Western world to have shown us that a struggle can be waged without violence.\""""",YRWNXga
1967,Ragnar Granit,"Research Fellow, 1929–1931; Sc.D., 1971",Physiology or Medicine,"\for their discoveries concerning the primary physiological and chemical visual processes in the eye\""""",epOkqNk
1967,Haldan Keffer Hartline,"Research Fellow in Biophysics, 1931–1936; Assistant Professor, 1936–1942; Associate Professor, 1943–1948; Professor, 1948–1949; Sc.D., 1971",Physiology or Medicine,"\for their discoveries concerning the primary physiological and chemical visual processes in the eye\""""",Savhhc
1971,Simon Kuznets,"Assistant Professor of Economic Statistics, 1930–1934; Associate Professor, 1934–1935; Professor, 1936–1954; Sc.D., 1956; LL.D., 1976",Economics,"\for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development.\""""",CaaMP8E
1972,Christian B. Anfinsen,"M.S., 1939; Sc.D., 1973",Chemistry,\for his work on ribonuclease,exJorlh4
1972,Gerald Edelman,"M.D., 1954; Sc.D., 1973",Physiology or Medicine,"\for their discoveries concerning the chemical structure of antibodies\""""",j7jmiJa
1972,John Robert Schrieffer,"Professor of Physics, 1962–1980; Sc.D., 1973",Physics,\for their jointly developed theory of superconductivity,R3Q1iLBh
1976,Baruch Samuel Blumberg,"Professor of Medicine, 1964– ;Sc.D., 1990",Physiology or Medicine,"\for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases\""""",n7FxlI5
1980,Lawrence Klein,"Professor of Economics, 1958–",Economics,"\for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies.\""""",l4QPvx
1985,Michael Stuart Brown,"A.B., 1962; M.D., 1966; Sc.D. 1986",Physiology or Medicine,"\for their discoveries concerning the regulation of cholesterol metabolism\""""",Q3FKySw8
