Name,Developer,Release,Type,Game flow,Setting,Extra_Data_1
Heroes Of Might and Magic Kingdoms,Ubisoft,2010,Strategy,Real-time,Empire Building,153
Ikariam,Gameforge,2007,Strategy,Real-time,Ancient Greece/empire building,94
Illyriad,Illyriad Games Ltd,2011,Strategy,Real-time,Fantasy/empire building,285
Kantai Collection,Kadokawa Games,2013,card battle game,Real-time,World War II,863
kdice,Ryan Dewsbury,2006,Strategy,Turn-based,Abstract war game,877
Kingdom of Loathing,Asymmetric Publications,2003,role-playing,Turn-based,Fantasy/humorous,928
Legends of Zork,Jolt Online Gaming,2009-2011 (now closed),role-playing,Turn-based,Fantasy/humorous,186
Little Space Heroes,Bubble Gum Interactive,2011,MMORPG,Real-time,Kids,691
Lord of Ultima,Electronic Arts,2010,Strategy,Real-time,Fantasy,342
Miniconomy,Trade Games International BV,2002,Strategy,Real-time,Contemporary/country building,49
Monopoly City Streets,"Tribal DDB, Hasbro",2009 (now closed),Strategy,Real-time,Board game,556
