Name,Developer,Release,Type,Game flow,Setting
Earth Eternal,Sparkplay Media,2009,MMORPG,Real-time,Fantasy
Echo Bazaar!,Failbetter Games,2009,RPG,Turn-based,Gothic Fantasy/Steampunk
Empire & State,"Novel, Inc.",2011,MMORPG,Real-time,Science Fiction
eRepublik,eRepublik Labs,2008,Strategy,Real-time,Contemporary/country building
Evony,Evony,2009,Strategy,Real-time,Fantasy/empire building
Forumwarz,Crotch Zombie Productions,2008,Strategy,Turn-based,Contemporary/Internet forum
Freeciv.net,The Freeciv Project,2010,Strategy,Turn-based,Empire building game
FusionFall,Cartoon Network/Grigon Entertainment,2009,MMORPG,Real-time,Science fiction
Grendel's Cave,"Grendel Enterprises, L.L.C.",1998,Adventure,Real-time,Literary (Beowulf)
Habbo Hotel,Sulake Inc.,2000,Social networking,Real-time,Contemporary/teenagers
Hattrick,ExtraLives,1997,Strategy,Real-time,Contemporary/soccer team
