Name,Developer,Release,Type,Game flow,Setting
Nadirim,Twisted Tribe,2011 (now closed),MMORPG,Turn-based,Arabian fantasy
NationStates,Max Barry,2002,Strategy,Real-time,Contemporary/country building
Neopets,Viacom,1999,"Strategy, Simulation",Real-time,Virtual Pet Site
Nile Online,Tilted Mill Entertainment,2008,Strategy,Real-time,Ancient Egypt/empire building
NukeZone,Stefan Karlstrom,2001,Strategy,Turn-based,Contemporary/war
Omerta (video game),Omerta Game Limited,2003,MMORPG,Real-time,Mafia
OGame,Gameforge AG,2002,Strategy,Real-time,Science fiction
Pardus,Bayer&Szell OEG,2004,Strategy,Turn-based,Science fiction
Pirate Galaxy,Splitscreen Studios,2000,role-playing,Real-time,Science fiction
Planetarion,FUBRA,2000,Strategy,Turn-based,Science fiction
Quake Live,id Software,2009,First-person shooter,Real-time,Science fiction
