Name,Developer,Release,Type,Game flow,Setting
Quick Hit Football,Play Hard Sports,2009,Sports game,,Sports/American football
RaceConflicts,Raceconflicts,2004,MMORPG,Turn-based,Fantasy
Realm of the Mad God,Wildshadow,2010,MMORPG,Real-time,Fantasy
RuneScape,Jagex,2001,MMORPG,Real-time,Fantasy
Samurai Taisen,PST Team,2013,"MMORTS, Visual Novel",Real-time,Sengoku period
Sentou Gakuen,PST Team,2012,"MMORPG, Visual Novel",Real-time,School Life
Tanki Online,AlternativaPlatform,2009,3D MMO-Shooter,Real-time,Post-apocalyptic world
Terra Est Quaestuosa,Schoot Digital Productions,1998,Strategy,Turn-based,Contemporary/country building
Terra Militaris,SNAIL Game,2010,Strategy,Real-time,Historical/empire building
ThreeChess,RS Consult BG Ltd.,2010,Strategy,Turn-based,Chess variant
Trade Wars,Sylien Games,2007,Space trade and combat,Real-time,Fantasy
