Name,Developer,Release,Type,Game flow,Setting
Transformice,"Tigrounette, Melibellule",2010,Platform game,Real-time,MMOG
Travian,Travian Games,2004,"MMORTS, Strategy",Real-time,Antiquity/empire building
Twilight Heroes,Quirkz Media,2007,role-playing,Turn-based,Contemporary/superheroes
Urban Dead,Kevan Davis,2005,MMORPG,Turn-based,Contemporary/zombies
Urban Rivals,Boostr,2006,Collectible card game,Turn-based,Board game
Tribal wars,Inno Games,2003,Strategy,Real-time,Empire building
Virtonomics,Gamerflot Ltd.,2009,Business game,Turn-based,Modern/business
War of Legends,Ultizen,2010,Strategy,Real-time,Chinese fantasy
World of the Living Dead: Resurrection,Ballardia,2013,MMORPG,Real-Time,Zombie Survival Strategy
X-Wars,"Sebastian Lagemann, Nils Mitoussis, Mediatainment GmbH",2002,Strategy,Real-time,Science fiction
