Name,Developer,Release,Type,Game flow,Setting,Extra_Data_1,Unused_2,Irrelevant_3
8Realms,Jagex,2011 (now closed),Strategy,Real-time,Empire building,395,,j0JBwtTL
Adventure Quest Worlds,Artix Entertainment,2008,MMORPG,Real-time,RPG,925,,dttPwAe
Blood Wars,BW Team,2006,MMORPG,Real-time,Post-apocalyptic world,536,,mQgCednj
Business Tycoon Online,Dovogame LLC,2009,MMORPG,Real-time,Fantasy/Business Simulation,162,,Zi5hgLA2
Castle Marrach,Skotos,2001,role-playing,Real-time,Fantasy/storytelling,923,,l6VkIo
Castle of Heroes,SNAIL Game,2009,Strategy,Real-time,Fantasy/empire building,356,,G3UCOb2m
Club Penguin,New Horizon Entertainment/Disney,2005,Social networking,Real-time,Antarctica,478,,n8MY7YS7
Cyber Nations,Kevin Marks,2006,Strategy,Turn-based,Contemporary/country building,867,,kKE51rI
Dead Frontier,Neil Yates,2008,"MMORPG, Third-person shooter",Real-time,Post-apocalyptic world,119,,bnCh7
Domain of Heroes,Tandem Games,2008,MMORPG,Text-based RPG,Fantasy,472,,9O1KN9h
Doomlord,Beholder Kft,2008,RPG,Real-time,Fantasy,345,,ZxxY1Vm
