Year,Single,Chart,Position,Filler_1
1986,"\Holding Out for a Hero\""""",Irish Singles Chart (1985),1,apCmh
1986,"\Holding Out for a Hero\""""",UK Singles Chart (1985),2,pgwwn
1986,"\Holding Out for a Hero\""""",EURO CHARTS (1985),12,blfqKksr
1986,"\Holding Out for a Hero\""""",German Singles Chart (1984),19,YcCtVaZ
1986,"\Holding Out for a Hero\""""",Canadian Singles Chart (1984),19,sjcuDsaQ
1986,"\Holding Out for a Hero\""""",Austrian Singles Chart (1984),19,fiRuy
1986,"\Holding Out for a Hero\""""",Swedish Singles Chart (1984),19,jfWpHH
1986,"\Holding Out for a Hero\""""",Italian Singles Chart (1984),30,knPsg
1986,"\Holding Out for a Hero\""""",New Zealand Singles Chart (1984),33,fOgcVA
1986,"\Holding Out for a Hero\""""",U.S. Billboard Singles Chart (1984),34,cvnkp
