Year,Single,Chart,Position
1986,"\If You Were a Woman and I Was a Man\""""",U.S. Billboard Singles Chart,77
1986,"\If You Were a Woman and I Was a Man\""""",UK Singles Chart,78
1986,"\If You Were a Woman and I Was a Man\""""",Canada RPM,87
1986,"\Loving You's a Dirty Job but Somebody's Gotta Do It\""""",Spain,6
1986,"\Loving You's a Dirty Job but Somebody's Gotta Do It\""""",Switzerland,24
1986,"\Loving You's a Dirty Job but Somebody's Gotta Do It\""""",Germany,30
1986,"\Loving You's a Dirty Job but Somebody's Gotta Do It\""""",French,34
1986,"\Loving You's a Dirty Job but Somebody's Gotta Do It\""""",UK,73
1986,"\Band of Gold\""""",Billboard Hot Dance Breakouts Singles Sales,6
1986,"\Band of Gold\""""",UK,81
