Year,Single,Chart,Position,Extra_Data_1,Noise_Field_2
1986,"\Holding Out for a Hero\""""",Australian Singles Chart (1984),44,235,BBcCkRyg
1986,"\Holding Out for a Hero\""""",UK Singles Chart (1991),69,290,UuqINN
1986,"\Holding Out for a Hero\""""",UK Singles Chart (1984),96,99,DAXcf
1986,"\If You Were a Woman and I Was a Man\""""",Venezuela,1,709,gjjPys
1986,"\If You Were a Woman and I Was a Man\""""",French SNEP Singles Chart,6,273,heZWmjGM
1986,"\If You Were a Woman and I Was a Man\""""",Swiss Singles Chart,16,227,YwSpaxxm
1986,"\If You Were a Woman and I Was a Man\""""",UK Club Chart,16,978,VKDzpF
1986,"\If You Were a Woman and I Was a Man\""""",New Zealand,20,278,RlEpnMe
1986,"\If You Were a Woman and I Was a Man\""""",German Singles Chart,32,796,jWWAASF
1986,"\If You Were a Woman and I Was a Man\""""",Australia,77,145,fBjeVT
