Represented,Contestant,Age,Height,Hometown
La Altagracia,Mary Ann Fiallo Reynosa,21,1.73 m (5 ft 8 in),Santo Domingo
La Romana,Suanny Frontaán de la Cruz,22,1.82 m (5 ft 11 3⁄4 in),La Romana
La Vega,Norbelkis Ramírez Astro,18,1.77 m (5 ft 9 3⁄4 in),Santiago de los Caballeros
Licey al Medio,Ana Carolina Frometa Cruz,22,1.77 m (5 ft 9 3⁄4 in),Santiago de los Caballeros
María Trinidad Sánchez,Yoneidy Zamora Berro,20,1.81 m (5 ft 11 1⁄4 in),Villa Mella
Moca,Cindy Arias Morton,25,1.80 m (5 ft 10 3⁄4 in),Moca
Monte Cristi,Carolina Ayala Cromen,18,1.71 m (5 ft 7 1⁄4 in),San Felipe de Puerto Plata
Neiba,Sandra Castellanos de Fermin**,21,1.76 m (5 ft 9 1⁄4 in),Santo Domingo
Puerto Plata,Dina Margarita Encarnación del Rosario,23,1.83 m (6 ft 0 in),Sosúa
Samaná,Lucrecia Vargas Camacho,20,1.74 m (5 ft 8 1⁄2 in),Moca
