Represented,Contestant,Age,Height,Hometown,Unused_1
San Cristóbal,Elisa Mercedes Cid Brito,19,1.74 m (5 ft 8 1⁄2 in),San Cristóbal,
San Francisco de Macorís,Johanna del Carmen Espaillat Romero,19,1.76 m (5 ft 9 1⁄4 in),San Francisco de Macorís,
San José de las Matas,Karina Germán Fernández,24,1.77 m (5 ft 9 3⁄4 in),Santiago de los Caballeros,
San Juan,Lizette de los Santos Petro,23,1.78 m (5 ft 10 in),San Juan de la Maguana,
San Pedro de Macorís,Dalisa Magdalena Alegría Gómez,19,1.67 m (5 ft 5 3⁄4 in),San Pedro de Macorís,
Santiago,Amelia Victoria Vega Polanco,17,1.85 m (6 ft 3⁄4 in),Santiago de los Caballeros,
Santiago Rodríguez,Martha Zamora Taveras**,20,1.83 m (6 ft 0 in),Santiago de los Caballeros,
Santo Domingo Oeste,Aurora Sardéña Fiallo,25,1.79 m (5 ft 10 1⁄2 in),Santo Domingo,
Valverde,Lourdes Medina Acosta,21,1.72 m (5 ft 7 3⁄4 in),Laguna Salada,
Villa González,Linette Seferino Guzmán,19,1.81 m (5 ft 11 1⁄4 in),Santiago de los Caballeros,
