Year,Competition,Venue,Position,Event,Notes
2003,World Youth Championships,"Sherbrooke, Canada",1st,3000 m,9:12.70
2004,World Junior Championships,"Grosseto, Italy",3rd,1500 m,4:17.39
2004,World Junior Championships,"Grosseto, Italy",3rd,3000 m,9:03.16 (PB)
2007,World Athletics Final,"Stuttgart, Germany",8th,1500 m,4:16.51
2007,World Championships,"Osaka, Japan",31st (h),1500 m,4:22.12
2008,World Indoor Championships,"Valencia, Spain",5th,1500 m,4:15.54
2008,Olympic Games,"Beijing, China",10th,1500 m,4:05.57
2009,Mediterranean Games,"Pescara, Italy",4th,1500 m,4:12.83
2009,World Championships,"Berlin, Germany",29th (h),1500 m,4:10.57
2009,Jeux de la Francophonie,"Beirut, Lebanon",2nd,1500 m,4:21.56
