Position,Name,Height,Weight,Birthdate,Birthplace,2009–10 team,Irrelevant_1,Unused_2
G,Brianne McLaughlin,174 cm (5 ft 9 in),59 kg (130 lb),"June 20, 1987","Sheffield, Ohio",Robert Morris Colonials,eFC9bt,
G,Molly Schaus,174 cm (5 ft 9 in),67 kg (148 lb),"July 29, 1988","Natick, Massachusetts",Boston Eagles,E4gIpAI,
G,Jessie Vetter,174 cm (5 ft 9 in),77 kg (170 lb),"December 19, 1985","Cottage Grove, Wisconsin",Wisconsin Badgers,fA8wss,
D,Kacey Bellamy,174 cm (5 ft 9 in),65 kg (143 lb),"April 22, 1987","Westfield, Massachusetts",New Hampshire Wildcats,g3f6O,
D,Caitlin Cahow,163 cm (5 ft 4 in),71 kg (157 lb),"May 20, 1985","New Haven, Connecticut",Harvard Crimson,C24xm0,
D,Lisa Chesson,169 cm (5 ft 7 in),69 kg (152 lb),"August 18, 1986","Plainfield, Illinois",Ohio State Buckeyes,mctNtn,
D,Molly Engstrom,175 cm (5 ft 9 in),81 kg (179 lb),"March 1, 1983","Siren, Wisconsin",Wisconsin Badgers,XxJX0M6,
D,Angela Ruggiero – A,175 cm (5 ft 9 in),87 kg (192 lb),"January 3, 1980","Los Angeles, California",Harvard Crimson,EPQRcYM4,
D,Kerry Weiland,163 cm (5 ft 4 in),64 kg (141 lb),"October 18, 1980","Palmer, Alaska",Wisconsin Badgers,EzNDgV,
F,Julie Chu – A,174 cm (5 ft 9 in),67 kg (148 lb),"March 13, 1982","Bridgeport, Connecticut",Harvard Crimson,wgv0Q,
F,Natalie Darwitz – C,160 cm (5 ft 3 in),62 kg (137 lb),"October 13, 1983","Eagan, Minnesota",Minnesota Golden Gophers,8Sm8G6,
