Position,Name,Height,Weight,Birthdate,Birthplace,2009–10 team
F,Meghan Duggan,175 cm (5 ft 9 in),74 kg (163 lb),"September 3, 1987","Danvers, Massachusetts",Wisconsin Badgers
F,Hilary Knight,178 cm (5 ft 10 in),78 kg (172 lb),"July 12, 1989","Hanover, New Hampshire",Wisconsin Badgers
F,Jocelyne Lamoureux,168 cm (5 ft 6 in),70 kg (150 lb),"July 3, 1989","Grand Forks, North Dakota",North Dakota Fighting Sioux
F,Monique Lamoureux,168 cm (5 ft 6 in),71 kg (157 lb),"July 3, 1989","Grand Forks, North Dakota",North Dakota Fighting Sioux
F,Erika Lawler,152 cm (5 ft 0 in),59 kg (130 lb),"February 5, 1987","Fitchburg, Massachusetts",Wisconsin Badgers
F,Gisele Marvin,174 cm (5 ft 9 in),75 kg (165 lb),"March 7, 1987","Warroad, Minnesota",Minnesota Golden Gophers
F,Jenny Potter – A,163 cm (5 ft 4 in),66 kg (146 lb),"January 12, 1979","Edina, Minnesota",Minnesota Golden Gophers
F,Kelli Stack,165 cm (5 ft 5 in),59 kg (130 lb),"January 13, 1988","Brooklyn Heights, Ohio",Boston Eagles
F,Karen Thatcher,174 cm (5 ft 9 in),74 kg (163 lb),"February 29, 1984","Blaine, Washington",Providence Friars
F,Jinelle Zaugg-Siergiej,183 cm (6 ft 0 in),82 kg (181 lb),"March 27, 1986","Eagle River, Wisconsin",Wisconsin Badgers
