Year,Japanese title,English title,Role,Network,Extra_Data_1,Dummy_Col_2,Unused_3
1997,あぐり,Agri,-,NHK,105,etppz,
1998,ラブアンドピース,Love & Peace,Yohei Horiguchi,NTV,732,YdQJBujD,
2001,ネバーランド,Neverland,Osamu Seto,TBS,416,HWnYr,
2002,Hito ni Yasashiku (人にやさしく / ３ピース ),Be Nice to People,Yusuke,Fuji TV,119,qJQQi,
2002,Engimono (演技者),Acting by,Hachida,Fuji TV,847,udnqrhl,
2004,Kinō wa Tomo Kyō no Teki,-,-,,140,aETLxN,
2005,Dekabeya (六本木おかしな捜査班),Funny Roppongi Squad,Yukio Ochi,TV Asahi,214,rtDMxd,
2005,"Asuka e, Soshite mada Minu Ko e (飛鳥へ、そしてまだ見ぬ子へ)",To Asuka and to the Unseen Child,Sawamura Kazuya,Fuji TV,658,xJvBk,
2005,Nemureru Mori no Shitai (眠れる森の死体),Sleeping Corpse,Eiji/Yamazaki,Fuji TV,282,ngZgY,
2006,アキハバラ＠DEEP,Akihabara@Deep,Box,TBS,292,smDaeP,
2007,Hana Yori Dango Returns,Boys Over Flowers 2,Junpei Oribe,TBS,16,eKvJLbDT,
