Year,Japanese title,English title,Role,Network
2007,Hanazakari no Kimitachi e,Ikemen Paradise,Shuichi Nakatsu,Fuji TV
2008,Hachimitsu to Clover (ハチミツとクローバー),Honey & Clover,Yūta Takemoto,Fuji TV
2008,Hanazakari no Kimitachi e,Ikemen Paradise,Shuichi Nakatsu,Fuji TV
2008,Maō,Devil,Naoto Serizawa,TBS
2009,Inochi Naki Mono no Koe (ヴォイス),Voice,Ryōsuke Ishimatsu,Fuji TV
2009,Majo Saiban (魔女裁判),The Witch Trial,Toru Yoshioka,Fuji TV
2009,"Yonimo \\\Kim\\\"" yo na Monogatari""",The Law of Recycling Suicides,R 8427,
2010,Unobore Deka (うぬぼれ刑事),Conceited Detective,Sadame Honjo,TBS
2010,Kyuukei no Kouya,Spherical Wilderness,Shoichi Soeda,Fuji TV
2012,"Osozaki no Himawari ~Boku no Jinsei, Renewal~ (遅咲きのヒマワリ ~ボクの人生、リニューアル~)",Late Blooming Sunflower –My life renewed-,Jotaro Kodaira,Fuji TV
2014,Gunshi Kanbei,-,Dom Justo Takayama,NHK
