Team,Titles,Runner-up,Third place,Fourth place,Years participated,Unused_1,Irrelevant_2
Michigan,15,13,10,6,44,,9O8Pv
Michigan State,12,13,11,4,40,,Iwiux7m
Michigan Tech,10,13,10,16,49,,dRFGfJ1
Western Michigan,2,1,0,1,4,,aS97vwe
North Dakota,2,1,0,1,4,,FPX5d
Toronto,1,0,0,0,1,,Z3lFBO
New Hampshire,1,0,1,0,2,,IP3Ky
Colorado College,1,1,0,1,3,,R89XJqk
Wisconsin,1,1,1,0,3,,S9Evg
Boston College,1,0,3,0,4,,igg8V
Notre Dame,1,0,0,3,4,,rb1z6Sk
Boston University,1,0,4,0,5,,rdOec
Harvard,1,0,2,2,5,,HWgTl
Maine,0,1,0,0,1,,Nk5XO3hO
Ohio State,0,1,0,0,1,,bHhVcn
