Rank,County,Per capitaincome,Medianhouseholdincome,Medianfamilyincome,Population,Number ofhouseholds,Noise_Field_1
35,Treasure,"$20,882","$37,969","$51,458",718,335,XXUitg
36,Musselshell,"$20,875","$37,033","$47,860","4,538","2,046",wDppjO
37,Carter,"$20,681","$35,703","$47,955","1,160",532,Scmrt
38,Teton,"$20,509","$39,516","$49,102","6,073","2,450",NqWaTO
39,Toole,"$20,464","$42,949","$54,722","5,324","2,015",iXNSIdW
40,Chouteau,"$20,202","$41,064","$50,201","5,813","2,294",sOjKCLE
41,Lake,"$20,164","$37,274","$47,437","28,746","11,432",hzbTWBH
42,Rosebud,"$19,844","$44,776","$56,282","9,233","3,395",CscKmn
43,Lincoln,"$19,626","$30,823","$39,600","19,687","8,843",dtqUVbN
44,Broadwater,"$19,606","$44,667","$46,949","5,612","2,347",MUDsFBWl
45,Golden Valley,"$19,319","$35,726","$48,750",884,363,PpYjObS
