Rank,County,Per capitaincome,Medianhouseholdincome,Medianfamilyincome,Population,Number ofhouseholds
23,Sweet Grass,"$22,785","$43,723","$56,552","3,651","1,590"
24,Wibaux,"$22,579","$40,417","$51,354","1,017",457
25,Garfield,"$22,424","$42,955","$54,375","1,206",532
26,Fergus,"$22,295","$37,607","$48,623","11,586","5,099"
27,Deer Lodge,"$21,921","$35,310","$51,076","9,298","4,018"
28,Custer,"$21,676","$38,913","$49,011","11,699","5,031"
29,Powder River,"$21,543","$37,685","$50,156","1,743",755
30,Hill,"$21,420","$43,606","$55,963","16,096","6,275"
31,Silver Bow,"$21,357","$37,986","$52,288","34,200","14,932"
32,Prairie,"$21,296","$34,896","$43,500","1,179",551
33,Beaverhead,"$21,110","$38,264","$53,036","9,246","4,014"
34,Petroleum,"$21,008","$36,875","$39,107",494,225
