Rank,County,Per capitaincome,Medianhouseholdincome,Medianfamilyincome,Population,Number ofhouseholds
12,Flathead,"$24,721","$44,998","$53,940","90,928","37,504"
13,Park,"$24,717","$38,830","$50,252","15,636","7,310"
14,Dawson,"$24,602","$50,752","$63,982","8,966","3,749"
15,Missoula,"$24,343","$42,887","$58,302","109,299","45,926"
16,Valley,"$24,305","$42,050","$54,096","7,369","3,198"
17,Phillips,"$24,227","$36,453","$55,362","4,253","1,819"
18,Judith Basin,"$24,029","$41,473","$54,479","2,072",924
19,Ravalli,"$23,908","$43,000","$53,004","40,212","16,933"
,Montana,"$23,836","$43,872","$55,725","989,415","409,607"
20,Madison,"$23,265","$48,167","$56,406","7,691","3,560"
21,Granite,"$23,222","$36,052","$47,685","3,079","1,417"
22,Cascade,"$22,963","$42,389","$53,540","81,327","33,809"
