Rank,County,Per capitaincome,Medianhouseholdincome,Medianfamilyincome,Population,Number ofhouseholds
1,McCone,"$32,205","$42,998","$52,636","1,734",774
2,Gallatin,"$27,423","$50,136","$65,029","89,513","36,550"
,United States,"$27,334","$51,914","$62,982","308,745,538","116,716,292"
3,Stillwater,"$27,168","$57,227","$65,438","9,117","3,796"
4,Richland,"$26,888","$52,516","$60,236","9,746","4,167"
5,Fallon,"$26,819","$52,529","$64,500","2,890","1,233"
6,Sheridan,"$26,537","$39,578","$55,313","3,384","1,587"
7,Jefferson,"$26,437","$56,695","$67,195","11,406","4,512"
8,Yellowstone,"$26,152","$48,641","$62,380","147,972","60,672"
9,Lewis and Clark,"$25,894","$50,238","$65,573","63,395","26,694"
10,Carbon,"$24,983","$49,010","$59,823","10,078","4,571"
11,Daniels,"$24,737","$38,125","$49,479","1,751",798
