Rank,County,Per capitaincome,Medianhouseholdincome,Medianfamilyincome,Population,Number ofhouseholds
46,Mineral,"$19,209","$37,256","$44,271","4,223","1,911"
47,Liberty,"$19,097","$40,212","$44,957","2,339",822
48,Pondera,"$18,989","$36,419","$47,656","6,153","2,285"
49,Wheatland,"$18,474","$30,321","$41,161","2,168",887
50,Sanders,"$18,472","$30,622","$37,514","11,413","5,121"
51,Powell,"$17,849","$39,851","$45,339","7,027","2,466"
52,Roosevelt,"$17,821","$37,451","$50,146","10,425","3,553"
53,Meagher,"$17,318","$31,577","$40,057","1,891",806
54,Glacier,"$17,053","$38,075","$44,397","13,399","4,361"
55,Blaine,"$16,813","$37,034","$40,890","6,491","2,357"
56,Big Horn,"$15,066","$36,550","$41,985","12,865","4,004"
