Rank,Bib,Country,Time,Penalties (P+S),Deficit
,1,RussiaSvetlana SleptsovaAnna Bogaliy-TitovetsOlga MedvedtsevaOlga Zaitseva,1:09:36.317:24.417:17.317:27.717:26.9,0+2 0+30+0 0+00+1 0+10+0 0+00+1 0+2,0.0
,4,FranceMarie-Laure BrunetSylvie BecaertMarie DorinSandrine Bailly,1:10:09.117:22.617:17.618:34.216:54.7,2+4 0+40+0 0+20+0 0+12+3 0+10+1 0+0,+32.8
,2,GermanyKati WilhelmSimone HauswaldMartina BeckAndrea Henkel,1:10:13.417:26.017:16.218:12.017:19.2,0+2 0+30+1 0+00+0 0+00+1 0+10+0 0+2,+37.1
4,5,NorwayLiv-Kjersti EikelandAnn Kristin FlatlandSolveig RogstadTora Berger,1:10:34.118:20.416:52.618:21.216:59.9,0+1 0+20+0 0+20+0 0+00+0 0+00+1 0+0,+57.8
5,3,SwedenElisabeth HögbergAnna Carin Olofsson-ZidekAnna Maria NilssonHelena Jonsson,1:10:47.217:46.717:25.918:16.817:17.8,0+2 0+10+0 0+10+0 0+00+2 0+00+0 0+0,+1:10.9
6,7,UkraineOlena PidhrushnaValj SemerenkoOksana KhvostenkoVita Semerenko,1:11:08.217:36.917:56.317:44.717:50.3,0+2 0+60+0 0+10+1 0+30+1 0+00+0 0+2,+1:31.9
7,8,BelarusLiudmila KalinchikDarya DomrachevaOlga KudrashovaNadezhda Skardino,1:11:34.017:40.017:28.718:27.417:57.9,0+1 0+20+1 0+10+0 0+10+0 0+00+0 0+0,+1:57.7
8,12,SloveniaDijana RavnikarAndreja MaliTadeja Brankovič-LikozarTeja Gregorin,1:12:02.417:50.418:18.218:07.817:46.0,0+4 0+20+0 0+10+1 0+10+2 0+00+1 0+0,+2:26.1
9,6,ChinaWang ChunliLiu XianyingKong YingchaoSong Chaoqing,1:12:16.917:44.717:47.719:10.417:34.1,0+2 0+60+1 0+20+1 0+10+0 0+30+0 0+0,+2:40.6
10,10,RomaniaDana PlotogeaÉva TófalviMihaela PurdeaReka Ferencz,1:12:32.918:10.617:47.818:23.218:11.3,0+1 0+60+0 0+10+0 0+20+1 0+30+0 0+0,+2:56.6
