Location,Region,Coordinates(links to map & photo sources),Population,Elevation,Dummy_Col_1,Unused_2
La Oroya,Junín,11°31′08″S 75°53′58″W﻿ / ﻿11.51893°S 75.89935°W,33345,4000,Uxoprig,
La Peca,Amazonas,5°36′40″S 78°26′06″W﻿ / ﻿5.61111°S 78.435°W,27045,1143,cAsrkS,
La Rinconada,Puno,14°37′53″S 69°26′47″W﻿ / ﻿14.63126°S 69.44638°W,29678,5050,mTmAAUaJ,
La Unión,Huanuco,9°49′45″S 76°48′06″W﻿ / ﻿9.82907°S 76.8018°W,4788,4007,frWEbpIk,
La Unión,Piura,5°24′S 80°45′W﻿ / ﻿5.4°S 80.75°W,34834,6,csDIUqNT,
Lagunas,Loreto,5°13′37″S 75°40′31″W﻿ / ﻿5.22694°S 75.67528°W,9197,149,oTwAn,
Lamas,San Martín,6°25′00″S 76°32′00″W﻿ / ﻿6.41667°S 76.53333°W,13693,764,ftGUI,
Lambayeque,Lambayeque,6°42′04″S 79°54′22″W﻿ / ﻿6.70111°S 79.90611°W,43710,2,LenPa,
Lampa,Puno,15°21′00″S 70°22′00″W﻿ / ﻿15.35°S 70.36667°W,4780,3927,cOsNrSnf,
Langui,Cusco,14°25′55″S 71°16′23″W﻿ / ﻿14.43194°S 71.27306°W,3969,3908,NEFji,
Laredo,La Libertad,8°05′23″S 78°57′37″W﻿ / ﻿8.08965°S 78.9602°W,24691,74,jWtvIH,
Las Lomas,Piura,4°39′12″S 80°14′48″W﻿ / ﻿4.65333°S 80.24667°W,9450,250,zNXhwOx,
Layo,Cusco,14°29′37″S 71°09′18″W﻿ / ﻿14.49361°S 71.155°W,3978,3939,gGqXXfi,
Lima,N/A (Lima Province),12°02′35″S 77°01′42″W﻿ / ﻿12.04318°S 77.02824°W,7737002,181,QBOMRtw,
Lima Pampa,Cusco,14°05′19″S 71°20′14″W﻿ / ﻿14.08861°S 71.33722°W,3569,3812,IyESMtQ,
Llata,Huanuco,9°25′00″S 76°47′00″W﻿ / ﻿9.41667°S 76.78333°W,4585,2999,StvcZwQj,
Llongasora,Arequipa,15°38′21″S 71°17′59″W﻿ / ﻿15.63917°S 71.29972°W,4753,4568,AsAGD,
Lluta,Arequipa,16°00′53″S 72°00′51″W﻿ / ﻿16.01472°S 72.01417°W,5998,2990,pBwRJUJ,
Los Aquijes,Ica,14°05′48″S 75°41′27″W﻿ / ﻿14.09667°S 75.69083°W,7848,457,emDKgt,
Macusani,Puno,14°05′00″S 70°26′00″W﻿ / ﻿14.08333°S 70.43333°W,6044,4058,jQGIMVmz,
Mala,Lima,12°39′29″S 76°37′51″W﻿ / ﻿12.65806°S 76.63083°W,17260,130,UVkKoB,
Máncora,Piura,4°06′28″S 81°02′51″W﻿ / ﻿4.10778°S 81.0475°W,9101,26,dyFiswQ,
Maranganí,Cusco,14°21′28″S 71°10′07″W﻿ / ﻿14.35778°S 71.16861°W,3709,3965,vQZBDH,
Marcavelica,Piura,4°52′40″S 80°42′19″W﻿ / ﻿4.87778°S 80.70528°W,25645,65,GzXQZ,
Matucana,Lima,11°51′S 76°24′W﻿ / ﻿11.85°S 76.4°W,4517,2801,Ndxwquv,
Mazamari,Junín,11°19′33″S 74°31′51″W﻿ / ﻿11.32583°S 74.53083°W,6826,805,ruiQnW,
Minas de Marcona,Ica,15°12′43″S 75°06′37″W﻿ / ﻿15.21194°S 75.11028°W,15478,789,OWOoz,
Moche,La Libertad,8°10′16″S 79°00′33″W﻿ / ﻿8.17111°S 79.00917°W,22581,109,imGiM,
Mochumí,Lambayeque,6°32′49″S 79°51′47″W﻿ / ﻿6.54694°S 79.86306°W,7460,151,gIinCdK,
Mollendo,Arequipa,17°01′23″S 72°00′53″W﻿ / ﻿17.02306°S 72.01472°W,28953,1,NCWzcw,
