Location,Region,Coordinates(links to map & photo sources),Population,Elevation
Chongoyape,Lambayeque,6°38′26″S 79°23′21″W﻿ / ﻿6.64056°S 79.38917°W,16061,53
Chosica,Lima,11°56′35″S 76°42′34″W﻿ / ﻿11.94306°S 76.70944°W,88606,923
Chota,Cajamarca,6°33′S 78°39′W﻿ / ﻿6.55°S 78.65°W,14240,2552
Chulucanas,Piura,5°05′33″S 80°09′45″W﻿ / ﻿5.0925°S 80.1625°W,68835,120
Chupaca,Junín,12°04′00″S 75°17′00″W﻿ / ﻿12.06667°S 75.28333°W,9877,3352
Chuquitira,Tacna,17°17′16″S 70°02′42″W﻿ / ﻿17.28778°S 70.045°W,4220,4514
Cocachacra,Arequipa,17°05′18″S 71°45′27″W﻿ / ﻿17.08833°S 71.7575°W,8799,119
Coishco,Ancash,9°01′23″S 78°36′56″W﻿ / ﻿9.02306°S 78.61556°W,15083,157
Combapata,Cusco,14°06′04″S 71°25′46″W﻿ / ﻿14.10111°S 71.42944°W,3472,3689
Concepción,Junín,11°55′05″S 75°18′42″W﻿ / ﻿11.91811°S 75.31173°W,11330,3965
Conchopata,Cusco,14°28′16″S 71°11′53″W﻿ / ﻿14.47111°S 71.19806°W,3977,3891
Contamana,Loreto,7°20′00″S 75°01′00″W﻿ / ﻿7.33333°S 75.01667°W,13885,157
Coracora,Ayacucho,15°02′00″S 73°47′00″W﻿ / ﻿15.03333°S 73.78333°W,7420,3359
Cullcuyre,Cusco,14°05′36″S 71°19′57″W﻿ / ﻿14.09333°S 71.3325°W,3593,3859
Cusco,Cusco,13°31′06″S 71°58′41″W﻿ / ﻿13.51833°S 71.97806°W,312140,3360
Desaguadero,Puno,16°33′56″S 69°02′30″W﻿ / ﻿16.56556°S 69.04167°W,5329,3674
El Alto,Piura,4°16′17″S 81°12′53″W﻿ / ﻿4.27139°S 81.21472°W,9303,209
Eten,Lambayeque,6°54′29″S 79°51′51″W﻿ / ﻿6.90806°S 79.86417°W,13693,9
Ferreñafe,Lambayeque,6°38′20″S 79°47′20″W﻿ / ﻿6.63889°S 79.78889°W,34357,127
Guadalupe,La Libertad,7°15′00″S 79°29′00″W﻿ / ﻿7.25°S 79.48333°W,25376,83
Hacienda Huancane,Puno,15°49′20″S 70°53′08″W﻿ / ﻿15.82222°S 70.88556°W,7831,4524
Huacho,Lima,11°06′24″S 77°36′18″W﻿ / ﻿11.10667°S 77.605°W,54545,61
Hualmay,Lima,11°05′47″S 77°36′50″W﻿ / ﻿11.09639°S 77.61389°W,26658,40
Huamachuco,La Libertad,7°48′00″S 78°04′00″W﻿ / ﻿7.8°S 78.06667°W,21768,3072
Huancabamba,Piura,5°14′19″S 79°27′02″W﻿ / ﻿5.23861°S 79.45056°W,8553,2112
Huancavelica,Huancavelica,12°46′00″S 74°59′00″W﻿ / ﻿12.76667°S 74.98333°W,41576,3981
Huancayo,Junín,12°04′00″S 75°14′00″W﻿ / ﻿12.06667°S 75.23333°W,376657,3496
Huanta,Ayacucho,12°56′00″S 74°15′00″W﻿ / ﻿12.93333°S 74.25°W,18627,2943
Huánuco,Huanuco,9°55′58″S 76°14′30″W﻿ / ﻿9.9329°S 76.24153°W,147959,1795
Huaral,Lima,11°29′42″S 77°12′28″W﻿ / ﻿11.495°S 77.20778°W,62174,221
