Location,Region,Coordinates(links to map & photo sources),Population,Elevation
Monsefú,Lambayeque,6°52′41″S 79°52′20″W﻿ / ﻿6.87806°S 79.87222°W,25707,1
Moquegua,Moquegua,17°11′44″S 70°56′07″W﻿ / ﻿17.19556°S 70.93528°W,54517,1481
Morococha,Junín,11°35′59″S 76°08′28″W﻿ / ﻿11.59972°S 76.14111°W,7890,4123
Mórrope,Lambayeque,6°32′30″S 80°00′40″W﻿ / ﻿6.54167°S 80.01111°W,6662,116
Morropón,Piura,5°10′56″S 79°58′08″W﻿ / ﻿5.18222°S 79.96889°W,12307,161
Mosoc Cancha,Cusco,14°17′04″S 71°04′21″W﻿ / ﻿14.28444°S 71.0725°W,4450,4465
Mosoc Llacta,Cusco,14°07′12″S 71°28′22″W﻿ / ﻿14.12°S 71.47278°W,3802,3802
Motupe,Lambayeque,6°09′07″S 79°42′51″W﻿ / ﻿6.15194°S 79.71417°W,13681,168
Moyobamba,San Martín,6°03′00″S 76°58′00″W﻿ / ﻿6.05°S 76.96667°W,44276,760
Nazca,Ica,14°50′00″S 74°57′00″W﻿ / ﻿14.83333°S 74.95°W,23556,595
Nicolas de Pierola,Lima,11°57′S 76°42′W﻿ / ﻿11.95°S 76.7°W,5800,1324
Nuevo Imperial,Lima,13°04′31″S 76°19′02″W﻿ / ﻿13.07541°S 76.31719°W,32344,160
Ñuñoa,Puno,14°28′48″S 70°38′28″W﻿ / ﻿14.48°S 70.64111°W,4271,4181
Ollantaytambo,Cusco,13°15′26″S 72°15′47″W﻿ / ﻿13.25722°S 72.26306°W,2000,3065
Olmos,Lambayeque,5°59′05″S 79°44′43″W﻿ / ﻿5.98472°S 79.74528°W,9800,230
Orcopampa,Arequipa,15°15′58″S 72°20′30″W﻿ / ﻿15.26611°S 72.34167°W,5643,3898
Orcotuna,Junín,11°58′00″S 75°20′00″W﻿ / ﻿11.96667°S 75.33333°W,4199,4022
Oropesa,Cusco,13°35′34″S 71°46′19″W﻿ / ﻿13.59278°S 71.77194°W,4022,3277
Otuzco,La Libertad,7°54′00″S 78°35′00″W﻿ / ﻿7.9°S 78.58333°W,10134,2692
Oxapampa,Pasco,10°34′39″S 75°24′06″W﻿ / ﻿10.5775°S 75.40167°W,7743,3058
Oyón,Lima,10°40′05″S 76°46′23″W﻿ / ﻿10.66806°S 76.77306°W,6276,3553
Oyotún,Lambayeque,6°51′07″S 79°18′13″W﻿ / ﻿6.85194°S 79.30361°W,6330,300
Pacanga,La Libertad,7°10′00″S 79°30′00″W﻿ / ﻿7.16667°S 79.5°W,8750,48
Pacasmayo,La Libertad,7°24′02″S 79°34′17″W﻿ / ﻿7.40056°S 79.57139°W,29165,3
Pacocha,Moquegua,17°35′00″S 71°20′00″W﻿ / ﻿17.58333°S 71.33333°W,7588,230
Paiján,La Libertad,7°44′00″S 79°18′08″W﻿ / ﻿7.73333°S 79.30222°W,21128,117
Paita,Piura,5°05′21″S 81°06′52″W﻿ / ﻿5.08917°S 81.11444°W,56151,1
Palpa,Ica,14°32′01″S 75°11′08″W﻿ / ﻿14.53361°S 75.18556°W,5883,404
Pampamarca,Cusco,14°08′47″S 71°27′34″W﻿ / ﻿14.14639°S 71.45944°W,3811,3959
Pampas,Huancavelica,12°24′S 74°54′W﻿ / ﻿12.4°S 74.9°W,5521,3967
