Location,Region,Coordinates(links to map & photo sources),Population,Elevation,Filler_1,Filler_2,Extra_Data_3
Tinta,Cusco,14°08′42″S 71°24′25″W﻿ / ﻿14.145°S 71.40694°W,3466,3571,kLwrlUz,zMEASte,32
Tinyahuarco,Pasco,10°45′S 76°18′W﻿ / ﻿10.75°S 76.3°W,5066,3734,uAWMuizd,PJKCTrX,341
Tocache Nuevo,San Martín,8°11′03″S 76°30′45″W﻿ / ﻿8.18417°S 76.5125°W,29029,457,RnGdLAvE,rBKkR,908
Torata,Moquegua,17°04′37″S 70°50′36″W﻿ / ﻿17.07694°S 70.84333°W,7054,2327,DtOGKTm,HDPkwI,875
Totoral,Tacna,17°24′19″S 70°21′54″W﻿ / ﻿17.40528°S 70.365°W,1976,2417,TPZzH,tdYNYr,944
Trujillo,La Libertad,8°06′58″S 79°01′48″W﻿ / ﻿8.11599°S 79.02998°W,747450,36,OjAMfp,LvXIj,583
Túcume,Lambayeque,6°30′36″S 79°51′30″W﻿ / ﻿6.51°S 79.85833°W,7043,149,JmOEGE,bmhrA,914
Tumbes,Tumbes,3°34′00″S 80°26′29″W﻿ / ﻿3.56667°S 80.44139°W,109223,8,llsnwpb,UNLDjxYX,382
Tungasuca,Cusco,14°09′50″S 71°28′36″W﻿ / ﻿14.16389°S 71.47667°W,3791,3950,gmUCxx,PZmdzD,653
Uchiza,San Martín,8°27′33″S 76°27′48″W﻿ / ﻿8.45917°S 76.46333°W,17742,615,rtwOofM,PtPETJoe,94
Urcos,Cusco,13°41′10″S 71°37′22″W﻿ / ﻿13.68611°S 71.62278°W,5479,3106,FqplZ,WMBUPb,681
Urubamba,Cusco,13°18′17″S 72°06′57″W﻿ / ﻿13.30472°S 72.11583°W,7540,3048,DyWGnyK,Rjmndhe,350
Végueta,Lima,11°01′23″S 77°38′35″W﻿ / ﻿11.02306°S 77.64306°W,6219,2,qbYeKa,XsFeTP,557
Vice,Piura,5°25′00″S 80°47′00″W﻿ / ﻿5.41667°S 80.78333°W,12915,9,adRjqIQ,YLAEAn,511
Villa Rica,Pasco,10°44′22″S 75°16′11″W﻿ / ﻿10.73944°S 75.26972°W,7448,879,NTOlNhU,xxJeoI,191
Villa Tupac Amaru,Ica,13°42′S 76°09′W﻿ / ﻿13.7°S 76.15°W,11159,81,HSlIwolZ,dIZFoVC,228
Virú,La Libertad,8°25′00″S 78°45′00″W﻿ / ﻿8.41667°S 78.75°W,20774,65,gfUHgJ,uJynyj,265
Vizcachane,Arequipa,15°48′31″S 71°12′04″W﻿ / ﻿15.80861°S 71.20111°W,4407,4529,srxPvJW,cgMHi,332
Yanacancha,Huanuco,10°14′28″S 76°38′44″W﻿ / ﻿10.24111°S 76.64556°W,23175,3986,Pbeah,Cotbo,681
Yanahuanca,Pasco,10°31′00″S 76°29′55″W﻿ / ﻿10.51667°S 76.49861°W,5992,3441,TPVJO,kinmTK,831
Yanaoca,Cusco,14°13′05″S 71°25′54″W﻿ / ﻿14.21806°S 71.43167°W,3913,3962,foVcRR,cpaBwy,626
Yauya,Ancash,8°59′00″S 77°18′00″W﻿ / ﻿8.98333°S 77.3°W,9092,3001,odAKHIc,bpEOj,186
Yungay,Ancash,9°08′18″S 77°44′37″W﻿ / ﻿9.13833°S 77.74361°W,5269,2787,luQPs,ROzHfPc,829
Yunguyo,Puno,16°15′00″S 69°05′00″W﻿ / ﻿16.25°S 69.08333°W,16140,3826,FzVnHlsA,HNmdjbqE,392
Yura,Arequipa,16°15′08″S 71°40′47″W﻿ / ﻿16.25223°S 71.67969°W,5686,2694,yZRshvlS,IVrprD,394
Yurimaguas,Loreto,5°54′00″S 76°05′00″W﻿ / ﻿5.9°S 76.08333°W,41827,185,JjFjG,soqoa,637
Zaña,Lambayeque,6°55′20″S 79°35′03″W﻿ / ﻿6.92222°S 79.58417°W,39200,95,IKtsWBs,eaHjaQa,209
Zarumilla,Tumbes,3°30′11″S 80°16′23″W﻿ / ﻿3.50306°S 80.27306°W,16907,35,uxftC,UGYyYTYX,291
Zorritos,Tumbes,3°40′00″S 80°40′00″W﻿ / ﻿3.66667°S 80.66667°W,12261,3,qWEOowBm,BpHiIT,432
