Location,Region,Coordinates(links to map & photo sources),Population,Elevation
Pangoa,Cusco,12°07′00″S 73°00′00″W﻿ / ﻿12.11667°S 73°W,6638,901
Papayal,Tumbes,4°04′34″S 80°44′10″W﻿ / ﻿4.07611°S 80.73611°W,5484,296
Paracas,Ica,13°52′00″S 76°16′00″W﻿ / ﻿13.86667°S 76.26667°W,1196,3
Paramonga,Lima,10°40′00″S 77°50′00″W﻿ / ﻿10.66667°S 77.83333°W,27631,41
Pativilca,Lima,10°42′00″S 77°47′00″W﻿ / ﻿10.7°S 77.78333°W,13583,106
Perené,Junín,10°56′57″S 75°13′34″W﻿ / ﻿10.94917°S 75.22611°W,6844,665
Picota,San Martín,6°55′11″S 76°19′49″W﻿ / ﻿6.91969°S 76.33037°W,6697,273
Picsi,Lambayeque,6°43′04″S 79°46′11″W﻿ / ﻿6.71778°S 79.76972°W,4966,60
Pilcomay,Junín,12°03′00″S 75°16′00″W﻿ / ﻿12.05°S 75.26667°W,8169,3450
Pimentel,Lambayeque,6°50′12″S 79°56′03″W﻿ / ﻿6.83667°S 79.93417°W,15552,1
Pisac,Cusco,13°25′21″S 71°50′48″W﻿ / ﻿13.4225°S 71.84667°W,2000,3216
Pisco,Ica,13°42′00″S 76°13′00″W﻿ / ﻿13.7°S 76.21667°W,61869,3
Piura,Piura,5°12′00″S 80°38′00″W﻿ / ﻿5.2°S 80.63333°W,325466,25
Pomabamba,Ancash,8°50′00″S 77°28′00″W﻿ / ﻿8.83333°S 77.46667°W,4453,3352
Pucallpa,Ucayali,8°22′45″S 74°33′14″W﻿ / ﻿8.37915°S 74.55387°W,310750,158
Pucara,Arequipa,15°58′49″S 71°27′38″W﻿ / ﻿15.98028°S 71.46056°W,4335,4473
Pueblo Nuevo,La Libertad,7°11′17″S 79°30′55″W﻿ / ﻿7.18806°S 79.51528°W,5766,1
Pueblo Nuevo,Lambayeque,5°43′00″S 79°53′00″W﻿ / ﻿5.71667°S 79.88333°W,12471,168
Puerto Maldonado,Madre de Dios,12°36′00″S 69°11′00″W﻿ / ﻿12.6°S 69.18333°W,37543,193
Puerto Santa,Ancash,8°59′26″S 78°38′44″W﻿ / ﻿8.99056°S 78.64556°W,14066,2
Puerto Supe,Lima,10°49′00″S 77°45′00″W﻿ / ﻿10.81667°S 77.75°W,11450,63
Pujocucho,Tacna,17°09′28″S 70°21′08″W﻿ / ﻿17.15778°S 70.35222°W,4120,3955
Puno,Puno,15°50′00″S 70°02′00″W﻿ / ﻿15.83333°S 70.03333°W,116552,3792
Punta de Bombón,Arequipa,17°10′18″S 71°47′35″W﻿ / ﻿17.17167°S 71.79306°W,6336,25
Puquio,Ayacucho,14°42′00″S 74°08′00″W﻿ / ﻿14.7°S 74.13333°W,10491,3107
Putina,Puno,15°28′00″S 69°26′00″W﻿ / ﻿15.46667°S 69.43333°W,8118,3926
Qquea,Cusco,14°03′15″S 71°23′09″W﻿ / ﻿14.05417°S 71.38583°W,3482,4209
Querecotillo,Piura,4°50′16″S 80°38′44″W﻿ / ﻿4.83778°S 80.64556°W,25396,76
Queromarca,Cusco,14°10′57″S 71°23′04″W﻿ / ﻿14.1825°S 71.38444°W,3496,3557
Quilahuani,Tacna,17°19′04″S 70°15′29″W﻿ / ﻿17.31778°S 70.25806°W,3176,2820
